LOF_2014_ABS;#Cidade;LOF_2014_REL;#Cidade;LOF_2014_REL_NOR;#Cidade;LOF_2014_SUA;#Cidade;LOF_2014_SUA_NOR;#Cidade
1,14;BEBEDOURO - SP;1,19;BEBEDOURO - SP;1,24;BEBEDOURO - SP;1,23;BEBEDOURO - SP;1,13;BEBEDOURO - SP
1,28;LIBERATO SALZANO - RS;1,36;LIBERATO SALZANO - RS;1,79;LIBERATO SALZANO - RS;1,2;LIBERATO SALZANO - RS;1,21;LIBERATO SALZANO - RS
1,22;FERREIROS - PE;1,1;FERREIROS - PE;1,27;FERREIROS - PE;1,21;FERREIROS - PE;1,26;FERREIROS - PE
1,13;ITABERAÍ - GO;1,16;ITABERAÍ - GO;1,39;ITABERAÍ - GO;1,13;ITABERAÍ - GO;1,15;ITABERAÍ - GO
1,11;CACAULÂNDIA - RO;1,07;CACAULÂNDIA - RO;1,23;CACAULÂNDIA - RO;1,2;CACAULÂNDIA - RO;1,13;CACAULÂNDIA - RO
1,51;OLIVEIRA - MG;1,29;OLIVEIRA - MG;1,19;OLIVEIRA - MG;1,06;OLIVEIRA - MG;1,06;OLIVEIRA - MG
1,05;LEOBERTO LEAL - SC;1,22;LEOBERTO LEAL - SC;1,3;LEOBERTO LEAL - SC;1,02;LEOBERTO LEAL - SC;1,06;LEOBERTO LEAL - SC
1,06;PEÇANHA - MG;1,04;PEÇANHA - MG;1,16;PEÇANHA - MG;1,08;PEÇANHA - MG;1,09;PEÇANHA - MG
1,04;CONSOLAÇÃO - MG;1,14;CONSOLAÇÃO - MG;1,61;CONSOLAÇÃO - MG;1,02;CONSOLAÇÃO - MG;1,06;CONSOLAÇÃO - MG
1,18;CENTENÁRIO DO SUL - PR;1,14;CENTENÁRIO DO SUL - PR;1,68;CENTENÁRIO DO SUL - PR;1,26;CENTENÁRIO DO SUL - PR;1,26;CENTENÁRIO DO SUL - PR
1,33;NOVA PRATA DO IGUAÇU - PR;1,26;NOVA PRATA DO IGUAÇU - PR;1,31;NOVA PRATA DO IGUAÇU - PR;1,1;NOVA PRATA DO IGUAÇU - PR;1,14;NOVA PRATA DO IGUAÇU - PR
0,99;SÃO JOSÉ DA VITÓRIA - BA;1,02;SÃO JOSÉ DA VITÓRIA - BA;1,02;SÃO JOSÉ DA VITÓRIA - BA;1,01;SÃO JOSÉ DA VITÓRIA - BA;0,99;SÃO JOSÉ DA VITÓRIA - BA
1,11;PARAPUÃ - SP;1,06;PARAPUÃ - SP;1,14;PARAPUÃ - SP;0,99;PARAPUÃ - SP;0,98;PARAPUÃ - SP
1,03;PALESTINA - SP;1,06;PALESTINA - SP;1,17;PALESTINA - SP;0,97;PALESTINA - SP;0,98;PALESTINA - SP
1,04;MACEDÔNIA - SP;1,06;MACEDÔNIA - SP;1,2;MACEDÔNIA - SP;1,15;MACEDÔNIA - SP;1,09;MACEDÔNIA - SP
1,3;MARIÓPOLIS - PR;1,26;MARIÓPOLIS - PR;1,31;MARIÓPOLIS - PR;1,06;MARIÓPOLIS - PR;1,07;MARIÓPOLIS - PR
1,64;CAÇAPAVA DO SUL - RS;1,29;CAÇAPAVA DO SUL - RS;1,22;CAÇAPAVA DO SUL - RS;1,06;CAÇAPAVA DO SUL - RS;1,12;CAÇAPAVA DO SUL - RS
1,07;MONTE APRAZÍVEL - SP;1,06;MONTE APRAZÍVEL - SP;1,16;MONTE APRAZÍVEL - SP;0,99;MONTE APRAZÍVEL - SP;1,01;MONTE APRAZÍVEL - SP
1,25;VALE DO SOL - RS;1,22;VALE DO SOL - RS;1,52;VALE DO SOL - RS;1,23;VALE DO SOL - RS;1,31;VALE DO SOL - RS
1,24;ITUPORANGA - SC;1,25;ITUPORANGA - SC;1,51;ITUPORANGA - SC;1,12;ITUPORANGA - SC;1,12;ITUPORANGA - SC
1,26;SÃO MATEUS DO SUL - PR;1,32;SÃO MATEUS DO SUL - PR;1,37;SÃO MATEUS DO SUL - PR;1,15;SÃO MATEUS DO SUL - PR;1,15;SÃO MATEUS DO SUL - PR
1,21;SULINA - PR;1,28;SULINA - PR;1,38;SULINA - PR;1,05;SULINA - PR;1,05;SULINA - PR
1,18;VARGEM BONITA - SC;1,14;VARGEM BONITA - SC;1,2;VARGEM BONITA - SC;1,08;VARGEM BONITA - SC;1,09;VARGEM BONITA - SC
1,23;LIMA DUARTE - MG;1,12;LIMA DUARTE - MG;1,13;LIMA DUARTE - MG;1,01;LIMA DUARTE - MG;1,02;LIMA DUARTE - MG
1,22;BARRACÃO - PR;1,14;BARRACÃO - PR;1,65;BARRACÃO - PR;1,27;BARRACÃO - PR;1,25;BARRACÃO - PR
1,05;PORTO AMAZONAS - PR;1,08;PORTO AMAZONAS - PR;1,27;PORTO AMAZONAS - PR;1,05;PORTO AMAZONAS - PR;1,03;PORTO AMAZONAS - PR
1,13;CACHOEIRA DO PIRIÁ - PA;1,16;CACHOEIRA DO PIRIÁ - PA;1,13;CACHOEIRA DO PIRIÁ - PA;1,05;CACHOEIRA DO PIRIÁ - PA;1,07;CACHOEIRA DO PIRIÁ - PA
1,2;ALVORADA D'OESTE - RO;1,2;ALVORADA D'OESTE - RO;1,56;ALVORADA D'OESTE - RO;1,31;ALVORADA D'OESTE - RO;1,37;ALVORADA D'OESTE - RO
1,08;IBIÚNA - SP;1,02;IBIÚNA - SP;1,35;IBIÚNA - SP;1,27;IBIÚNA - SP;1,16;IBIÚNA - SP
1,04;CASTILHO - SP;1,11;CASTILHO - SP;1,28;CASTILHO - SP;1,1;CASTILHO - SP;1,12;CASTILHO - SP
1,08;PIRAJU - SP;1,06;PIRAJU - SP;1,39;PIRAJU - SP;1,14;PIRAJU - SP;1,14;PIRAJU - SP
1,2;SAPIRANGA - RS;1,32;SAPIRANGA - RS;1,33;SAPIRANGA - RS;1,06;SAPIRANGA - RS;1,07;SAPIRANGA - RS
1,04;VIRADOURO - SP;1,06;VIRADOURO - SP;1,11;VIRADOURO - SP;1,07;VIRADOURO - SP;1,07;VIRADOURO - SP
1,13;CHIAPETTA - RS;1,12;CHIAPETTA - RS;1,6;CHIAPETTA - RS;1,11;CHIAPETTA - RS;1,2;CHIAPETTA - RS
1,34;TUCUNDUVA - RS;1,31;TUCUNDUVA - RS;1,55;TUCUNDUVA - RS;1,13;TUCUNDUVA - RS;1,11;TUCUNDUVA - RS
1,24;VITÓRIA DA CONQUISTA - BA;1,04;VITÓRIA DA CONQUISTA - BA;1,13;VITÓRIA DA CONQUISTA - BA;1,34;VITÓRIA DA CONQUISTA - BA;1,21;VITÓRIA DA CONQUISTA - BA
1,18;CORUMBATAÍ - SP;1,34;CORUMBATAÍ - SP;1,57;CORUMBATAÍ - SP;1,04;CORUMBATAÍ - SP;1,05;CORUMBATAÍ - SP
1,06;PIRANGI - SP;1,02;PIRANGI - SP;1,46;PIRANGI - SP;1,04;PIRANGI - SP;1,03;PIRANGI - SP
1,16;BOA VISTA DA APARECIDA - PR;1,15;BOA VISTA DA APARECIDA - PR;1,26;BOA VISTA DA APARECIDA - PR;1,12;BOA VISTA DA APARECIDA - PR;1,08;BOA VISTA DA APARECIDA - PR
1,13;ILICÍNEA - MG;1,05;ILICÍNEA - MG;1,13;ILICÍNEA - MG;1,06;ILICÍNEA - MG;1,06;ILICÍNEA - MG
1,1;GOIANIRA - GO;1,09;GOIANIRA - GO;1,13;GOIANIRA - GO;1,17;GOIANIRA - GO;1,19;GOIANIRA - GO
1,14;JATAÍ - GO;1,13;JATAÍ - GO;1,29;JATAÍ - GO;1,16;JATAÍ - GO;1,16;JATAÍ - GO
