#Codigo;Legislativa(2014);Judiciária(2014);Essencial à Justiça(2014);Administração(2014);Defesa Nacional(2014);Segurança Pública(2014);Relações Exteriores(2014);Assistência Social(2014);Previdência Social(2014);Saúde(2014);Trabalho(2014);Educação(2014);Cultura(2014);Direitos da Cidadania(2014);Urbanismo(2014);Habitação(2014);Saneamento(2014);Gestão Ambiental(2014);Ciência e Tecnologia(2014);Agricultura(2014);Organização Agrária(2014);Indústria(2014);Comércio e Serviços(2014);Comunicações(2014);Energia(2014);Transporte(2014);Desporto e Lazer(2014);Encargos Especiais(2014);Despesas (Intraorçamentárias)(2014);Legislativa(2015);Judiciária(2015);Essencial à Justiça(2015);Administração(2015);Defesa Nacional(2015);Segurança Pública(2015);Relações Exteriores(2015);Assistência Social(2015);Previdência Social(2015);Saúde(2015);Trabalho(2015);Educação(2015);Cultura(2015);Direitos da Cidadania(2015);Urbanismo(2015);Habitação(2015);Saneamento(2015);Gestão Ambiental(2015);Ciência e Tecnologia(2015);Agricultura(2015);Organização Agrária(2015);Indústria(2015);Comércio e Serviços(2015);Comunicações(2015);Energia(2015);Transporte(2015);Desporto e Lazer(2015);Encargos Especiais(2015);Despesas (Intraorçamentárias)(2015)
240690;0.83;-0.28;-0.15;0.01;-0.08;-0.32;-0.01;1.22;-0.64;0.63;-0.22;0.08;-0.45;-0.10;0.91;-0.22;-0.41;-0.38;-0.10;0.58;-0.04;-0.17;-0.26;-0.21;-0.44;-0.53;-0.65;-0.81;-0.31;0.83;-0.29;-0.08;0.08;-0.08;-0.31;-0.02;1.00;-0.66;1.17;-0.22;0.16;-0.70;-0.12;0.52;-0.16;-0.48;2.58;-0.11;0.68;-0.04;-0.19;-0.25;-0.22;-0.45;-0.40;-0.56;-0.82;-0.37
353080;-0.45;0.32;-0.15;-0.31;-0.08;4.61;-0.01;0.54;-0.64;0.89;-0.07;0.28;-0.28;-0.10;0.44;-0.12;3.39;0.44;-0.10;-0.25;-0.04;-0.17;-0.21;-0.21;-0.44;-0.53;-0.13;2.03;-0.31;-0.42;0.10;-0.08;-0.29;-0.08;4.20;-0.02;0.52;-0.66;0.95;-0.06;0.49;-0.37;-0.12;0.50;-0.05;3.70;0.54;-0.11;-0.32;-0.04;-0.19;-0.23;-0.22;-0.45;-0.57;-0.12;2.16;-0.37
310170;-0.51;1.17;-0.15;-0.87;-0.08;-0.06;-0.01;-0.68;-0.43;-0.96;1.13;-0.92;-0.56;-0.10;-0.47;-0.21;-0.39;-0.43;-0.10;-0.36;-0.04;-0.17;-0.26;-0.21;0.46;-0.38;-0.37;0.18;-0.31;-0.48;0.61;-0.08;-1.01;-0.08;-0.07;-0.02;-0.76;-0.38;-0.90;0.97;-0.82;-0.67;-0.12;-0.52;-0.16;-0.48;-0.41;-0.11;-0.46;-0.04;-0.19;-0.25;-0.22;1.02;-0.46;-0.45;0.09;-0.37
354030;2.67;-0.28;-0.15;3.55;-0.08;-0.32;-0.01;4.10;5.25;2.63;-0.22;2.31;1.06;-0.10;0.24;1.77;-0.41;0.18;-0.10;-0.02;-0.04;-0.17;0.85;-0.21;2.16;1.91;0.26;-0.81;2.34;3.39;-0.29;-0.08;3.60;-0.08;-0.31;-0.02;3.66;6.28;2.01;-0.22;2.14;5.39;-0.12;1.07;-0.16;-0.48;-0.22;-0.11;0.06;-0.04;-0.19;0.45;-0.22;2.13;1.53;0.14;-0.82;4.56
354550;3.41;-0.28;-0.15;0.83;-0.08;-0.32;-0.01;2.78;1.11;2.74;18.02;3.93;-0.47;-0.10;1.88;0.42;-0.25;-0.44;-0.10;0.58;-0.04;-0.17;-0.26;-0.21;-0.44;1.43;1.21;1.25;-0.31;3.85;-0.29;-0.08;0.48;-0.08;-0.31;-0.02;2.32;1.09;2.45;18.01;3.32;-0.49;-0.12;2.08;0.22;-0.18;-0.41;-0.11;0.90;-0.04;-0.19;-0.25;-0.22;-0.45;1.19;0.73;0.94;-0.37
313480;0.22;-0.28;-0.15;-0.63;-0.08;0.01;-0.01;-0.64;-0.64;-0.15;-0.22;-0.81;-0.27;-0.10;-0.36;-0.22;-0.38;-0.44;-0.10;-0.33;-0.04;-0.17;-0.21;-0.21;-0.44;0.70;-0.10;-0.37;-0.31;0.24;-0.26;-0.08;-0.58;-0.08;0.06;-0.02;-0.61;-0.66;-0.14;-0.22;-0.79;-0.35;-0.12;0.36;-0.16;-0.45;-0.41;-0.11;-0.27;-0.04;-0.19;-0.14;-0.22;-0.45;0.47;-0.20;-0.52;-0.37
351990;1.01;-0.28;-0.15;-0.39;-0.08;-0.32;-0.01;0.80;0.16;1.71;-0.22;0.14;-0.14;-0.10;0.38;-0.09;0.89;-0.43;-0.10;-0.17;-0.04;-0.17;1.13;-0.21;1.86;0.08;0.00;1.67;-0.31;0.86;-0.29;-0.08;-0.47;-0.08;-0.31;-0.02;0.11;0.04;1.39;-0.22;0.13;-0.14;-0.12;-0.28;0.20;1.00;-0.38;-0.11;-0.23;-0.04;-0.19;-0.25;-0.22;1.95;-0.10;-0.08;1.02;-0.37
410530;0.68;-0.28;-0.15;-0.20;-0.08;-0.31;-0.01;0.90;-0.64;0.48;-0.22;0.32;0.36;-0.10;0.63;-0.22;-0.36;1.16;-0.10;-0.05;-0.04;2.19;-0.26;-0.21;-0.44;0.65;1.29;1.27;-0.31;0.74;-0.29;-0.08;-0.14;-0.08;-0.30;-0.02;1.23;-0.66;0.48;-0.22;0.43;0.61;-0.12;0.37;-0.16;-0.28;1.01;-0.11;0.42;-0.04;1.16;-0.25;-0.22;-0.45;1.42;0.70;1.51;-0.37
230510;1.57;-0.28;-0.15;0.60;-0.08;-0.32;-0.01;1.69;-0.52;1.57;-0.22;1.27;1.66;-0.10;0.98;-0.22;-0.41;0.81;-0.10;-0.57;-0.04;-0.17;0.66;-0.21;-0.44;-0.53;0.11;-0.36;1.76;1.67;-0.29;-0.08;0.53;-0.08;-0.31;-0.02;2.04;0.02;1.67;-0.22;1.70;1.59;-0.12;1.08;-0.15;-0.48;0.88;-0.11;-0.47;-0.04;-0.19;0.12;-0.22;-0.45;-0.57;0.19;-0.51;1.45
500440;1.67;-0.28;-0.15;0.80;-0.08;-0.32;-0.01;1.03;0.81;0.62;-0.22;0.27;-0.73;-0.10;0.42;-0.22;-0.41;0.24;-0.10;-0.52;-0.04;-0.17;0.62;-0.21;-0.44;0.53;0.41;1.71;1.55;1.78;-0.29;-0.08;0.69;-0.08;-0.31;-0.02;0.82;0.87;0.79;-0.22;0.40;1.07;-0.12;-0.01;-0.13;-0.48;1.03;-0.11;-0.44;-0.04;-0.19;0.67;-0.22;-0.45;0.81;0.37;1.21;1.50
