#Codigo;Cidade ;População 2014;Legislativa(2014);Judiciária(2014);Essencial à Justiça(2014);Administração(2014);Defesa Nacional(2014);Segurança Pública(2014);Relações Exteriores(2014);Assistência Social(2014);Previdência Social(2014);Saúde(2014);Trabalho(2014);Educação(2014);Cultura(2014);Direitos da Cidadania(2014);Urbanismo(2014);Habitação(2014);Saneamento(2014);Gestão Ambiental(2014);Ciência e Tecnologia(2014);Agricultura(2014);Organização Agrária(2014);Indústria(2014);Comércio e Serviços(2014);Comunicações(2014);Energia(2014);Transporte(2014);Desporto e Lazer(2014);Encargos Especiais(2014);Despesas (Intraorçamentárias)(2014);Legislativa(2015);Judiciária(2015);Essencial à Justiça(2015);Administração(2015);Defesa Nacional(2015);Segurança Pública(2015);Relações Exteriores(2015);Assistência Social(2015);Previdência Social(2015);Saúde(2015);Trabalho(2015);Educação(2015);Cultura(2015);Direitos da Cidadania(2015);Urbanismo(2015);Habitação(2015);Saneamento(2015);Gestão Ambiental(2015);Ciência e Tecnologia(2015);Agricultura(2015);Organização Agrária(2015);Indústria(2015);Comércio e Serviços(2015);Comunicações(2015);Energia(2015);Transporte(2015);Desporto e Lazer(2015);Encargos Especiais(2015);Despesas (Intraorçamentárias)(2015);LOF_REL_NOR;LOF_SUA_NOR
261190;Rio Formoso - PE;23078;2021179.51;0;0;5507774.57;0;0;0;1869367.15;2524671.06;9966032.4;0;19080754;2159765.77;0;4449324.34;689;18500.54;379800;0;422757.35;0;0;314938.76;0;0;17971.85;26317;0;0;2183606.04;0;0;5796351.43;0;2080;0;1815963.72;2793645.88;10936557.68;0;21125521.3;2012513;0;5712911.23;0;299803.05;445581.33;0;492358.61;0;0;159734.13;0;0;61639.77;21516;0;0;1.2;1.07
420520;Erval Velho - SC;4456;339118.95;0;0;1994548.49;0;24729.65;0;625844.28;0;3034831.38;0;2927597.24;111067.64;0;1765016.5;350095.4;0;0;0;732263.25;0;0;0;0;0;1763043.89;404952.55;240600.59;0;374832.43;0;0;2121481.97;0;21299.92;0;651624.18;0;3347902.6;0;3647011.35;165199.59;0;2065476.49;408.48;1360618.52;0;0;971628.87;0;0;1800;1170;0;1637678.24;201411.21;299524.54;0;1.44;1.05
310840;Botelhos - MG;15325;673142.75;0;0;2678020.86;0;98711.46;0;808261.47;497311.06;6430743.98;159821.02;7618495.85;669380.96;0;2720567.51;12036.7;16642.32;109303.46;0;99106.83;0;3443.5;4476;0;285480.94;856232.6;573225.09;0;0;669714.08;0;0;2774653.34;0;112279.3;0;817517.62;512476.41;6710219.36;93509.25;7446101.56;703425.41;0;2554807.28;0;55054.81;51618.33;0;103116.5;0;17747.4;4644;0;710366;786308.67;535724;0;0;1.11;1.09
260825;Jucati - PE;11133;855290.31;0;0;2429124.99;0;0;0;1325363.53;940460.58;4335158.54;0;10817079.12;533105.42;0;1693368.74;0;43515;42638.6;0;513803.55;0;0;0;0;0;0;20884.34;404402.7;0;912020.77;0;0;2095270.98;0;0;0;1310895.13;1298692.14;4543956.68;0;10487157.8;445835.34;0;2549235.28;0;13950;437088.96;0;1102817.93;0;0;0;0;0;7500;6644.6;241238.91;641858.62;1.18;1.03
313580;Jequitinhonha - MG;25260;1477240.64;132577;0;2970078.73;64171.23;67980.35;0;1448120.11;0;13664750;0;9958382.9;1075554.37;0;4409453.29;2477.51;32368;96804.01;0;570458.25;0;0;0;470;0;945976.85;101489.12;2269414.58;0;1567431.61;330576.84;0;3409904.86;70499.85;80470.07;0;1544006.97;0;14079674.47;0;11500276.09;951457.92;0;4459678.59;9949.43;25886.49;297463.98;0;897533.65;0;0;0;11152.82;0;659608.39;105041.24;2278346.73;0;1.25;1.01
250073;Amparo - PB;2195;585362.16;0;0;1334475.65;0;0;0;454374.31;0;2419034.75;0;2577564.18;26770.74;0;119474.14;0;0;0;0;354859.8;0;0;163529.69;0;0;1122535.24;35227.27;468056.76;0;561405.03;0;0;1323261.33;0;0;0;490340.43;0;2301198.36;0;2755563.92;124162.3;0;1560476.52;0;25550;4115.44;0;513722.48;0;0;115629;0;0;16059.73;43108.81;682483.75;0;1.46;1.02
412780;Tomazina - PR;8696;0;0;0;4806591.21;0;0;0;555125.52;11250;3436489.13;0;3952893.31;76362.71;0;1215847.39;0;0;5953.96;0;608078.79;0;16511.1;46571.49;0;0;1147080.51;86095.26;12174.04;0;0;0;0;4963796.22;0;0;0;648479.47;0;3659026.73;0;3980377.62;90818.22;0;1148749.13;0;0;30351.7;0;634345.44;0;21201.45;34107.71;0;0;1902364.07;92469.97;0;0;1.29;1.05
354930;São João do Pau d'Alho - SP;2145;383466.91;0;0;1612165.36;0;0;0;615994.7;942451.62;2786388.42;0;2284158.02;131606.03;0;522579.11;100000;194659.02;39763.75;0;273013.18;0;0;0;0;117624.61;1256833.03;175762.25;212128.07;0;422396.17;0;0;1613798.88;0;0;0;726240.72;1038586.51;2555962.5;0;2464837.95;141480.82;0;255046.82;0;322956.54;196908.34;0;469694.88;0;0;0;0;186190.37;814625.43;78632.33;127196.47;0;1.43;1.03
313505;Jaíba - MG;36586;2189136.03;783030.85;0;4059160.62;10633.15;22441.23;0;1716068;2142549.41;18846035.71;0;15381500.24;979315.35;0;6573701.56;0;119937.11;3088.88;0;983941.31;0;0;0;16317.1;423834.03;561232.79;128819.57;1263008.83;0;2301186.8;600021.3;0;3873188.46;12691.71;38572.56;0;1717634.49;2091032.04;13420869.55;0;14490353.9;147872.45;0;5204639.08;1076.93;87807.13;3037.57;0;849006.09;0;0;0;16346.58;770672.79;414366.48;133764.67;1653957.24;0;1.17;1.02
110040;Alto Paraíso - RO;19841;1290067.39;0;0;8027789.41;0;0;0;864381.37;0;6806919.35;0;12661294.74;0;0;307068.75;0;0;0;0;356225.1;0;0;1712.33;0;0;1384405.96;370472.35;687316.96;0;1307616.1;0;0;6582591.09;0;0;0;859486.41;0;7677675.33;0;12620223.84;0;0;190607.56;0;0;0;0;135130;0;0;92870;0;0;845132.12;119951.74;716339.29;0;1.01;1.08
