#Cidade;População;Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias);LOF_2014_ABS;LOF_2014_REL;LOF_2014_REL_NOR;LOF_2014_SUA;LOF_2014_SUA_NOR
PÉROLA D'OESTE - PR;6783.0;0.00;0.00;0.00;2911741.06;0.00;0.00;0.00;734854.07;0.00;4195663.43;0.00;3524535.35;21156.72;0.00;1574750.97;0.00;166953.22;103580.00;0.00;729140.23;0.00;0.00;0.00;0.00;0.00;1132744.32;159136.69;0.00;0.00;1.06;1.08;1.29;1.04;1.04
INDEPENDÊNCIA - RS;6682.0;541772.03;0.00;0.00;3356643.64;0.00;0.00;0.00;274474.19;1056506.48;4333381.00;0.00;3521552.61;77227.59;0.00;317518.03;32014.56;82204.97;1688.50;0.00;295470.26;0.00;3522.32;10000.00;0.00;0.00;565669.59;17303.30;987372.64;1476128.29;1.23;1.20;1.21;0.99;1.02
TAMBAÚ - SP;23187.0;960240.87;0.00;1288214.61;7879219.39;0.00;49169.95;0.00;3540117.42;5013035.49;14786924.73;0.00;15940430.89;591300.87;0.00;4554666.30;100526.53;5521154.56;852933.33;46676.67;252722.55;0.00;0.00;553898.44;0.00;0.00;1280627.26;703014.26;1015234.37;0.00;1.23;1.23;1.63;1.16;1.20
COTIPORÃ - RS;4014.0;264672.36;0.00;0.00;3816502.51;0.00;15000.00;0.00;331928.98;0.00;3400954.33;0.00;2721790.50;342884.21;0.00;3540801.62;0.00;351638.82;0.00;0.00;981823.08;0.00;0.00;44928.23;0.00;0.00;613507.72;702481.85;643959.02;0.00;1.45;1.38;1.55;1.02;1.03
ITIRAPINA - SP;16938.0;1958700.68;0.00;0.00;9986609.16;0.00;0.00;0.00;1297483.38;0.00;12237810.26;0.00;14083124.12;33262.53;0.00;6023838.08;0.00;2008822.41;286515.72;0.00;0.00;0.00;0.00;586038.72;0.00;0.00;860580.39;458418.44;701840.87;0.00;1.12;1.06;1.23;1.15;1.14
CACOAL - RO;86556.0;5319051.34;400814.27;0.00;23561629.90;0.00;0.00;0.00;2963931.98;0.00;39255979.87;0.00;35521874.20;595918.99;0.00;13640047.41;87703.02;13575359.89;7223548.30;0.00;2491984.62;0.00;0.00;51101.00;178696.48;0.00;5338690.67;2663849.94;2602383.67;0.00;1.20;1.18;1.37;1.20;1.23
QUITANDINHA - PR;18257.0;0.00;0.00;0.00;2784216.58;0.00;0.00;0.00;1582404.23;0.00;7832899.31;0.00;11768868.45;0.00;0.00;6234264.67;0.00;0.00;0.00;0.00;1250017.68;0.00;0.00;268983.56;0.00;0.00;683364.74;1030751.56;1113349.50;1160781.19;1.19;1.17;1.34;1.26;1.23
COQUEIRO BAIXO - RS;1564.0;274850.08;0.00;0.00;1236691.02;0.00;17733.03;0.00;482620.28;0.00;2197828.65;0.00;1732289.75;90875.76;0.00;479235.44;11343.30;72740.16;79000.86;0.00;1216735.62;0.00;0.00;0.00;719.69;0.00;1720700.24;31625.61;162117.73;0.00;1.05;1.16;1.22;1.03;1.06
RIO GRANDE DA SERRA - SP;47731.0;2653322.86;986975.93;0.00;5774681.82;0.00;0.00;0.00;2306041.76;2386838.83;14997955.37;490928.18;13851726.69;59977.07;0.00;49937042.26;0.00;0.00;360853.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;298512.09;5856943.40;3321951.28;3.46;2.42;1.82;1.30;1.26
MUTUNÓPOLIS - GO;3922.0;682211.55;42784.92;0.00;2209325.05;0.00;29387.79;0.00;748328.57;1016577.32;2909136.15;0.00;3614737.55;0.00;0.00;0.00;1014356.19;0.00;96163.41;0.00;137582.98;0.00;0.00;0.00;74874.43;0.00;906973.32;228330.98;0.00;0.00;1.31;1.36;1.65;1.31;1.30
CAFELÂNDIA - PR;16321.0;0.00;0.00;0.00;5022367.39;0.00;16740.24;0.00;2280289.12;1732556.60;11928155.76;0.00;10623511.93;411547.21;0.00;5935013.72;0.00;0.00;245343.65;0.00;834412.24;0.00;30310.88;0.00;0.00;0.00;2367900.12;1106063.57;1450463.24;1574621.46;1.10;1.07;1.18;1.12;1.09
FREI GASPAR - MG;6031.0;484736.52;138877.73;0.00;2271035.15;0.00;0.00;0.00;496761.21;425548.19;2393918.82;0.00;4413002.18;422899.75;0.00;317737.28;0.00;0.00;43564.25;0.00;316781.15;0.00;0.00;0.00;36400.00;0.00;533903.27;0.00;152890.04;0.00;1.02;1.06;1.36;1.22;1.16
MARÍLIA - SP;230336.0;12445111.40;0.00;0.00;83150640.40;0.00;3163396.68;0.00;14878053.23;56165107.18;191400312.90;446663.89;142137024.38;5245027.06;828076.61;49535356.45;0.00;62136733.36;3650403.54;0.00;1543652.91;0.00;716300.39;0.00;0.00;0.00;0.00;3171043.94;17941652.08;39066473.04;1.21;1.24;1.26;1.24;1.19
RIBEIRÃO PRETO - SP;658059.0;44175222.06;8783298.77;0.00;151391783.40;762802.19;20277233.61;0.00;49368753.22;214012069.24;484472495.80;0.00;373552484.31;15442078.62;0.00;150479793.89;0.00;163032868.24;7815937.53;4342628.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7743217.46;187594806.92;178836333.57;2.03;1.41;1.64;1.48;1.39
NOVA MAMORÉ - RO;26925.0;0.00;1387464.58;0.00;8392936.43;0.00;0.00;0.00;2052778.05;788204.48;10854951.77;0.00;18111000.83;162147.74;0.00;485407.35;0.00;0.00;18317.25;0.00;116181.12;0.00;0.00;0.00;0.00;323448.45;2052925.59;69872.10;296015.51;0.00;1.09;1.04;1.29;1.14;1.11
SANTA CRUZ DO RIO PARDO - SP;46366.0;0.00;0.00;0.00;13014226.18;235828.99;0.00;0.00;4120358.41;1672224.65;41677154.90;0.00;29572279.73;1612179.16;0.00;9223309.42;2701671.29;0.00;1545576.47;0.00;2916492.69;0.00;0.00;0.00;0.00;1048136.89;261646.31;1190037.98;1002495.06;0.00;1.18;1.10;1.69;1.37;1.24
NOVA ALIANÇA - SP;6462.0;292061.64;0.00;0.00;2432480.80;0.00;0.00;0.00;845056.56;627196.96;5494333.35;9851.20;5085717.47;86364.78;0.00;1570086.37;0.00;1045643.95;30163.17;0.00;138781.14;0.00;0.00;0.00;0.00;0.00;746953.63;260007.67;834675.89;0.00;1.07;1.06;1.19;1.02;1.03
DOUTOR RICARDO - RS;2079.0;273180.63;0.00;0.00;1422184.97;0.00;43830.30;0.00;648937.79;0.00;2420516.11;0.00;1844136.84;200634.18;0.00;206631.95;8771.50;421049.57;65218.51;0.00;1034924.55;0.00;4440.00;118030.32;13948.02;0.00;1020764.74;189071.77;499036.31;0.00;1.02;1.14;1.28;1.02;1.04
SALTINHO - SP;7714.0;811664.04;0.00;244829.96;2886121.27;0.00;0.00;0.00;1260296.83;0.00;5435137.84;0.00;6408084.39;204644.55;0.00;3305671.00;0.00;1406521.59;4515.38;0.00;487838.31;0.00;0.00;0.00;0.00;0.00;1406.86;281407.75;0.00;0.00;1.13;1.09;1.48;1.13;1.10
MOJU - PA;76096.0;2567914.75;0.00;0.00;19162217.33;0.00;70125.78;0.00;3601582.64;476574.33;20690682.48;0.00;86108433.29;1037348.27;144819.92;378088.48;0.00;3553725.00;461837.07;0.00;470340.70;0.00;0.00;0.00;0.00;138895.57;0.00;370423.24;0.00;0.00;1.63;1.20;1.09;1.21;1.25
BOM SUCESSO DO SUL - PR;3368.0;437525.16;0.00;0.00;2181945.10;0.00;0.00;0.00;575174.14;0.00;2873749.64;0.00;2254131.50;65461.90;0.00;1499121.21;0.00;0.00;0.00;19239.08;449463.19;0.00;351810.03;70595.14;0.00;0.00;1828727.76;46855.66;819915.04;0.00;1.11;1.23;1.68;1.24;1.40
RELVADO - RS;2200.0;330538.81;0.00;0.00;1466537.85;0.00;26843.60;0.00;564593.55;0.00;2565895.91;0.00;1661684.63;83242.56;0.00;172499.76;19810.80;189757.01;109859.48;0.00;1875641.71;0.00;18995.52;16775.30;7030.00;0.00;2013061.13;56869.82;119860.70;0.00;1.10;1.21;1.29;1.02;1.03
RESENDE - RJ;124316.0;15100860.12;2994849.31;0.00;76986196.73;0.00;2556099.92;0.00;7465774.27;17847956.47;128913214.07;2048488.46;95757837.73;5308096.59;0.00;36356039.98;35206.83;8967970.87;3710132.87;4900.00;343558.46;0.00;6713.48;109230.24;0.00;3406016.42;2317828.28;3159631.66;11405855.16;17701998.20;1.22;1.13;1.34;1.10;1.14
VISTA ALEGRE DO ALTO - SP;7830.0;766689.85;0.00;0.00;3256288.99;0.00;563589.73;0.00;643021.24;435721.00;6674253.87;0.00;7265317.27;44316.04;0.00;1374921.94;0.00;376445.87;5660.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;460194.77;311450.34;334263.02;0.00;1.02;1.07;1.23;1.16;1.15
CANDÓI - PR;15741.0;0.00;0.00;65950.96;4549643.55;0.00;318919.50;0.00;2128518.22;87200.57;8662302.44;0.00;12656155.14;881339.71;0.00;745588.83;106040.80;0.00;1019930.70;0.00;2492435.89;0.00;271875.49;0.00;0.00;373237.00;11904574.58;466296.05;1332807.49;0.00;1.98;1.36;1.50;1.22;1.22
MAUÁ - SP;448776.0;25625238.08;4193351.98;0.00;57638172.14;0.00;14573529.34;0.00;14437219.00;0.00;260027241.49;12659018.14;143295838.76;1232140.22;6914635.02;99445626.99;6557988.81;66783156.42;2079208.35;0.00;0.00;0.00;378436.92;0.00;3265298.27;0.00;0.00;2763708.38;83162675.94;650881.75;1.40;1.40;1.74;1.41;1.22
GUARANI DE GOIÁS - GO;4235.0;606933.27;0.00;0.00;2723049.01;0.00;0.00;0.00;993957.19;583489.27;2783094.08;0.00;3571065.54;0.00;0.00;487644.93;0.00;43643.47;368752.67;0.00;63162.29;0.00;0.00;0.00;0.00;95582.39;999729.60;70149.87;0.00;0.00;1.07;1.14;1.33;1.09;1.09
BRAGA - RS;3711.0;530086.12;0.00;0.00;3643228.94;0.00;1600.00;0.00;161309.47;0.00;2838777.03;28800.00;2643241.54;24186.46;0.00;625239.66;74086.96;422150.45;0.00;0.00;452112.48;0.00;0.00;0.00;0.00;0.00;540508.64;76874.92;0.00;0.00;1.06;1.09;1.41;1.12;1.18
TAPERA - RS;10796.0;562350.13;0.00;0.00;2783109.12;0.00;278975.75;0.00;1014767.68;1987611.88;7453144.12;0.00;6509420.50;1506300.43;0.00;3877545.98;64520.57;0.00;128687.82;0.00;27629.07;0.00;43440.00;54600.00;0.00;3527.78;731416.10;563935.26;1094402.53;2220992.34;1.28;1.18;1.45;1.03;1.05
BILAC - SP;7602.0;547126.10;0.00;0.00;2377957.01;0.00;0.00;0.00;1270613.41;2253412.92;6448723.67;0.00;5562143.62;49107.16;0.00;2071996.38;0.00;419394.11;1036.80;0.00;434729.65;0.00;0.00;0.00;0.00;0.00;2483213.56;358396.21;736377.69;0.00;1.26;1.24;1.22;0.96;0.97
NOVA CANTU - PR;6833.0;0.00;0.00;125085.00;2794265.18;22447.54;0.00;0.00;521150.85;137466.86;3453523.33;0.00;4588682.96;0.00;0.00;1371534.43;0.00;0.00;210298.48;0.00;216203.23;0.00;0.00;0.00;0.00;0.00;1292638.62;67687.52;0.00;0.00;1.06;1.13;1.59;1.30;1.31
BARRETOS - SP;118521.0;7810693.63;0.00;0.00;55875389.71;0.00;2123266.12;0.00;37940772.69;28967038.91;88479359.95;0.00;91795959.73;3584589.31;66958.36;29927684.26;1243.42;17657023.61;3389585.42;0.00;0.00;0.00;1397027.29;0.00;0.00;0.00;13165721.35;6390354.34;149554.06;18949723.12;1.20;1.25;1.38;1.20;1.20
TRAVESSEIRO - RS;2388.0;357446.71;0.00;0.00;1593237.67;0.00;0.00;0.00;334450.53;52377.72;2049233.89;0.00;2076085.17;96438.71;0.00;348951.29;29499.50;0.00;240195.41;0.00;2399805.36;0.00;258500.00;0.00;0.00;139970.54;987054.72;61647.89;0.00;0.00;1.19;1.38;1.61;1.16;1.15
ARIRANHA - SP;9187.0;1899897.10;0.00;0.00;4259276.90;0.00;0.00;0.00;2225336.60;801179.59;10955113.89;0.00;9121441.52;1148490.19;0.00;2173735.95;0.00;729969.91;129737.02;0.00;180472.10;0.00;0.00;0.00;0.00;0.00;1059226.63;345918.25;1081864.89;0.00;1.04;1.12;1.23;0.99;0.98
POTIRENDABA - SP;16557.0;812484.33;121019.97;0.00;7933871.79;0.00;1176582.99;0.00;1132838.07;2477020.55;9642695.70;0.00;14656883.60;2034771.04;0.00;4090853.69;0.00;1429760.50;113590.11;0.00;408803.40;0.00;0.00;0.00;0.00;0.00;442890.50;250523.48;509852.78;2220646.53;1.19;1.22;1.36;1.06;1.07
BEBEDOURO - SP;77558.0;4329047.92;0.00;1379937.10;14569106.88;0.00;4405479.40;0.00;8834862.63;12324665.72;56014316.98;0.00;56105806.64;890769.78;0.00;19167722.82;474654.75;17630911.36;227208.98;0.00;982160.80;0.00;0.00;0.00;0.00;0.00;140343.51;2974422.30;5849692.15;0.00;1.14;1.19;1.24;1.23;1.13
LIBERATO SALZANO - RS;5789.0;0.00;29227.18;0.00;1923531.87;0.00;0.00;0.00;389636.49;1733521.93;3648823.75;0.00;3749992.68;211341.80;0.00;48164.58;0.00;169832.82;41438.34;0.00;1329793.95;0.00;463864.47;1679.00;99820.26;72671.66;3129408.36;563247.20;416777.04;0.00;1.28;1.36;1.79;1.20;1.21
FERREIROS - PE;11904.0;885578.38;0.00;0.00;3167888.35;0.00;47411.20;0.00;1000257.05;2766772.33;5459987.63;0.00;8586186.12;911299.60;3607.75;1327517.08;0.00;0.00;0.00;0.00;87784.51;0.00;0.00;0.00;0.00;274341.04;0.00;23678.31;309280.30;0.00;1.22;1.10;1.27;1.21;1.26
ITABERAÍ - GO;38983.0;3106161.61;0.00;0.00;8974780.72;0.00;745622.54;0.00;8157826.44;3515748.72;19281708.60;279646.95;23349874.42;595567.59;0.00;7083259.64;28408.31;0.00;294597.67;0.00;628794.63;0.00;0.00;123663.03;0.00;559224.54;1113274.84;470723.72;0.00;0.00;1.13;1.16;1.39;1.13;1.15
CACAULÂNDIA - RO;6318.0;834802.24;0.00;0.00;5460515.86;0.00;0.00;0.00;675165.72;409552.46;4753095.96;0.00;6261732.53;86506.97;0.00;0.00;0.00;0.00;0.00;0.00;312731.56;0.00;0.00;0.00;0.00;9300.68;605251.76;28607.45;0.00;0.00;1.11;1.07;1.23;1.20;1.13
OLIVEIRA - MG;41375.0;1919004.04;0.00;0.00;8477724.88;0.00;139674.79;0.00;3219296.39;7221430.57;20572571.92;0.00;15515464.90;1167003.58;0.00;14043715.29;0.00;10743823.87;142670.44;0.00;1318145.15;0.00;79670.40;164101.86;0.00;0.00;0.00;200350.18;1326392.84;2498969.52;1.51;1.29;1.19;1.06;1.06
LEOBERTO LEAL - SC;3258.0;582552.10;0.00;0.00;1396438.92;0.00;0.00;0.00;540018.12;670771.00;2286220.83;0.00;2549205.14;63029.49;0.00;159979.33;0.00;0.00;0.00;0.00;450360.61;0.00;0.00;0.00;0.00;0.00;1565247.97;376146.47;132893.71;636638.28;1.05;1.22;1.30;1.02;1.06
PEÇANHA - MG;17817.0;217863.97;154078.09;0.00;4626365.21;0.00;0.00;0.00;1052936.84;1152732.52;6105595.84;0.00;7309167.71;269068.26;0.00;3191245.49;0.00;121465.62;41789.95;0.00;439522.87;0.00;7692.50;0.00;0.00;0.00;451579.43;587334.67;195743.24;0.00;1.06;1.04;1.16;1.08;1.09
CONSOLAÇÃO - MG;1801.0;534947.91;34973.55;0.00;1234093.98;0.00;21797.25;0.00;288921.44;572889.17;2129972.96;0.00;1714661.63;304403.17;0.00;910665.08;40974.44;306182.94;0.00;0.00;85146.14;0.00;0.00;43499.47;0.00;123818.06;729034.52;58476.02;69322.78;0.00;1.04;1.14;1.61;1.02;1.06
CENTENÁRIO DO SUL - PR;11346.0;0.00;0.00;0.00;4527823.61;0.00;0.00;0.00;330408.97;0.00;6051532.25;0.00;5602989.49;393394.13;625.00;3348141.78;0.00;0.00;11709.00;0.00;1430281.24;0.00;377196.30;182500.57;1448.00;0.00;0.00;360054.39;324470.22;0.00;1.18;1.14;1.68;1.26;1.26
NOVA PRATA DO IGUAÇU - PR;10710.0;1281071.94;0.00;0.00;3580935.22;0.00;0.00;0.00;1190768.90;470153.17;6858343.34;0.00;10356828.19;60518.95;0.00;5184671.42;0.00;0.00;0.00;0.00;2052256.36;0.00;197882.82;0.00;0.00;0.00;5030428.89;144072.25;939192.86;1400530.66;1.33;1.26;1.31;1.10;1.14
SÃO JOSÉ DA VITÓRIA - BA;6158.0;570306.80;0.00;0.00;2374976.61;0.00;0.00;0.00;606317.59;35351.28;2695156.75;0.00;4671407.70;173716.70;0.00;981471.66;0.00;148767.94;0.00;0.00;43515.41;0.00;0.00;0.00;0.00;0.00;0.00;182698.29;137859.31;0.00;0.99;1.02;1.02;1.01;0.99
PARAPUÃ - SP;11110.0;817683.83;0.00;0.00;4535951.17;0.00;0.00;0.00;898270.95;1114476.29;6714140.42;0.00;6609681.33;364881.44;0.00;5006009.67;0.00;0.00;26227.87;0.00;726936.78;0.00;0.00;0.00;0.00;0.00;343434.09;187435.47;170635.74;0.00;1.11;1.06;1.14;0.99;0.98
PALESTINA - SP;12070.0;1280517.51;0.00;0.00;5056274.55;0.00;0.00;0.00;863596.03;0.00;9354178.69;0.00;11351976.37;691398.42;0.00;2151828.46;0.00;0.00;0.00;0.00;286396.80;0.00;0.00;0.00;0.00;0.00;1846884.45;365846.76;308491.46;0.00;1.03;1.06;1.17;0.97;0.98
MACEDÔNIA - SP;3751.0;648409.65;0.00;0.00;2163833.82;0.00;45000.00;0.00;833894.59;199697.00;3811594.45;9230.09;3407419.75;0.00;0.00;1691867.97;8028.50;0.00;0.00;0.00;109315.25;0.00;0.00;0.00;0.00;0.00;1097186.33;548465.55;281146.15;0.00;1.04;1.06;1.20;1.15;1.09
MARIÓPOLIS - PR;6558.0;516614.14;0.00;0.00;2628165.76;0.00;0.00;0.00;524594.40;1192333.30;4132532.03;0.00;3602113.91;63539.49;0.00;2238549.72;45451.74;0.00;12000.00;0.00;728877.62;0.00;220000.00;8109.50;13771.72;0.00;2986267.80;551119.03;489728.94;715021.77;1.30;1.26;1.31;1.06;1.07
CAÇAPAVA DO SUL - RS;34665.0;2540016.60;0.00;15950.18;12306543.19;0.00;63986.97;0.00;2198155.22;9830103.59;13791658.61;0.00;16877184.22;152200.07;0.00;2387810.61;33432.68;88003.73;108690.86;0.00;635711.57;0.00;0.00;200568.72;15160.11;0.00;420481.47;496288.26;153451.22;10159931.33;1.64;1.29;1.22;1.06;1.12
MONTE APRAZÍVEL - SP;23579.0;1742105.55;0.00;0.00;5451734.46;0.00;0.00;0.00;2629354.21;1367305.87;13011892.22;0.00;17485608.48;1457756.31;0.00;4499962.51;0.00;2594537.20;129065.33;0.00;229224.95;0.00;0.00;0.00;0.00;0.00;858381.06;1029009.43;2040163.32;0.00;1.07;1.06;1.16;0.99;1.01
VALE DO SOL - RS;11608.0;735949.83;0.00;0.00;4925977.74;0.00;38797.18;0.00;513052.32;0.00;4720871.81;0.00;6382357.72;123621.49;64660.56;1382.70;0.00;604077.62;58617.74;0.00;827865.41;0.00;0.00;28135.93;0.00;140914.18;1465173.22;41227.93;1157665.85;1412815.17;1.25;1.22;1.52;1.23;1.31
ITUPORANGA - SC;23777.0;1347344.41;89990.00;27183.77;4739751.49;0.00;596474.02;0.00;1507444.26;0.00;10731543.85;0.00;15035319.78;214333.82;0.00;8180695.90;0.00;171311.86;5457.92;0.00;1570749.80;0.00;0.00;3024048.18;0.00;0.00;2792932.49;185937.45;1548171.67;0.00;1.24;1.25;1.51;1.12;1.12
SÃO MATEUS DO SUL - PR;44179.0;0.00;0.00;0.00;9508231.04;0.00;168248.11;0.00;3838280.38;3676626.76;21517474.43;0.00;22561493.76;236045.48;0.00;8272555.03;0.00;0.00;285710.88;0.00;8113717.05;0.00;0.00;379144.76;0.00;0.00;112500.00;724117.14;574412.66;3636505.25;1.26;1.32;1.37;1.15;1.15
SULINA - PR;3329.0;0.00;0.00;0.00;2304726.40;0.00;0.00;0.00;988835.82;0.00;3154319.05;0.00;2247167.89;54554.84;0.00;1416020.70;0.00;54562.03;0.00;0.00;787194.73;0.00;0.00;2573.00;0.00;0.00;2967718.64;194817.45;388807.88;0.00;1.21;1.28;1.38;1.05;1.05
VARGEM BONITA - SC;4713.0;877412.31;0.00;0.00;2188542.12;0.00;42068.26;0.00;579839.66;0.00;5383802.38;0.00;4511856.66;197623.71;0.00;1680465.93;148567.11;0.00;0.00;0.00;1550757.26;0.00;0.00;0.00;14000.00;0.00;3124934.90;505806.06;433712.19;0.00;1.18;1.14;1.20;1.08;1.09
LIMA DUARTE - MG;16786.0;753926.95;0.00;0.00;4316398.72;0.00;96374.45;0.00;1075015.58;877260.94;8643639.89;0.00;7260985.01;346215.41;0.00;1532447.22;45782.84;3047567.08;225641.20;0.00;775734.57;0.00;0.00;62813.18;0.00;0.00;642696.14;369223.74;598080.14;0.00;1.23;1.12;1.13;1.01;1.02
BARRACÃO - PR;10187.0;0.00;0.00;0.00;3042820.93;0.00;0.00;0.00;1547985.73;0.00;6875886.82;0.00;4818810.43;60779.34;0.00;2050101.21;0.00;34681.54;6859.78;0.00;1332126.09;0.00;70390.94;367484.39;99516.79;0.00;1243069.56;347051.41;0.00;850936.26;1.22;1.14;1.65;1.27;1.25
PORTO AMAZONAS - PR;4755.0;0.00;0.00;0.00;1877296.45;0.00;0.00;0.00;1001787.98;0.00;3950732.98;0.00;3099628.59;249123.25;0.00;1383309.89;0.00;0.00;0.00;0.00;167541.04;0.00;0.00;0.00;0.00;0.00;990931.19;42781.39;103107.32;0.00;1.05;1.08;1.27;1.05;1.03
