#Cidade;Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias)
251020;88.51;0.00;0.00;330.77;0.00;0.00;0.00;91.60;0.00;633.27;0.00;830.51;38.41;0.00;116.67;14.93;19.30;0.00;0.00;81.95;0.00;0.00;0.00;0.00;0.00;17.77;30.29;113.20;0.00
431862;133.80;0.00;0.00;1011.97;0.00;0.35;0.00;191.50;143.88;893.35;0.00;901.47;0.00;0.00;0.00;0.00;11.73;32.72;0.00;107.02;0.00;0.00;0.00;0.00;0.00;784.12;75.23;0.00;207.54
280030;73.00;0.00;21.52;235.30;0.00;44.18;0.00;56.76;264.94;743.85;7.60;269.03;29.94;0.52;396.72;5.46;1.33;14.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.98;26.13;293.06
290380;63.73;2.45;0.00;119.05;0.00;0.00;0.00;41.35;0.00;456.11;0.00;871.20;26.31;0.00;218.02;12.56;0.41;0.07;0.00;6.07;0.00;0.00;0.00;0.00;6.84;56.96;1.37;19.98;0.00
110130;66.79;0.00;0.00;233.22;0.00;0.00;0.00;56.42;87.17;354.46;0.00;531.24;1.27;0.00;60.81;0.00;0.00;0.20;0.00;13.58;0.00;0.00;0.00;0.00;0.00;93.18;0.00;0.00;82.19
292250;49.75;0.00;0.00;153.45;0.00;0.00;0.00;60.69;34.32;307.71;0.00;554.59;48.73;0.00;182.35;0.00;0.00;0.00;0.00;9.92;0.00;0.00;0.00;0.00;0.00;0.00;12.14;0.00;0.00
510325;52.17;0.00;0.00;168.32;0.00;0.00;0.00;41.02;15.62;371.67;0.00;657.04;4.18;0.00;56.38;0.00;14.02;2.79;0.00;20.04;0.00;0.00;0.00;0.00;0.00;161.37;13.48;9.90;0.00
120017;54.82;0.00;0.00;433.84;0.00;0.00;0.00;79.12;4.89;300.39;0.00;725.96;0.00;0.00;16.73;0.11;0.00;0.00;0.00;5.57;0.00;0.00;0.00;0.00;0.00;0.00;3.18;28.67;0.00
412130;0.00;24.70;0.00;454.56;0.00;0.00;0.00;274.97;0.00;744.11;0.00;642.82;17.37;0.00;414.04;0.00;0.00;0.00;0.00;25.20;0.00;0.00;0.00;0.00;15.94;0.00;10.29;0.00;0.00
312247;155.59;0.00;0.00;360.39;0.00;4.69;0.00;131.10;0.00;671.96;0.00;597.47;32.07;0.00;310.90;0.00;0.00;34.04;0.00;56.54;0.00;0.00;0.00;0.00;0.00;154.74;58.37;87.92;0.00
250270;98.51;0.00;0.00;295.11;0.00;0.00;0.00;110.61;9.87;482.11;0.00;886.02;42.29;0.00;182.63;0.00;0.00;0.00;0.00;81.05;0.00;0.00;0.00;0.00;0.28;2.17;12.02;49.39;0.00
354010;119.35;0.00;0.00;961.82;0.00;0.00;0.00;122.77;0.00;918.36;0.00;1080.41;0.00;0.00;281.50;0.00;0.00;0.00;0.00;72.65;0.00;0.00;9.72;0.00;0.00;208.35;25.34;0.00;0.00
350230;141.55;0.00;0.00;597.01;0.00;3.91;0.00;145.28;0.00;1034.93;0.00;1469.82;29.47;0.00;526.61;136.70;0.00;0.00;0.00;33.27;0.00;70.40;125.56;0.00;0.00;188.15;13.82;162.68;0.00
291710;52.84;0.00;0.00;237.84;0.00;0.00;0.00;44.67;0.00;318.84;0.00;633.34;32.86;0.00;330.70;0.00;92.22;0.00;0.00;4.02;0.00;0.00;0.00;0.00;0.00;17.09;0.00;22.04;0.00
130310;46.58;0.00;0.00;193.72;0.00;14.02;0.00;53.80;0.00;327.28;0.00;620.40;17.32;0.00;89.80;0.58;20.25;2.72;0.00;8.20;0.00;0.00;0.00;0.00;0.00;3.37;2.81;13.68;0.00
317115;115.96;0.00;0.00;661.32;0.00;4.95;0.00;105.92;0.00;694.54;0.00;546.28;44.57;0.00;37.42;6.90;0.85;50.23;0.00;13.66;0.00;0.00;0.00;0.00;0.00;0.00;4.20;11.54;0.00
420940;80.97;0.05;0.00;506.29;0.00;10.98;0.00;49.81;0.00;624.04;0.00;363.90;69.66;0.00;229.87;0.05;3.93;14.40;0.00;0.79;0.00;0.00;9.48;0.06;0.00;0.26;2.77;76.82;0.00
315830;81.67;2.28;0.00;496.36;0.00;3.77;0.00;118.86;0.00;776.89;0.00;581.36;53.22;0.00;102.12;0.02;0.00;0.00;0.00;161.59;0.00;0.00;0.00;0.00;21.66;0.00;15.35;31.98;0.00
315910;151.94;0.00;0.00;323.40;0.00;2.92;0.00;84.15;32.96;737.28;0.00;752.15;142.73;0.00;262.61;0.00;21.79;19.99;0.00;56.10;0.00;0.00;16.22;0.00;33.64;66.61;18.73;60.73;0.00
240670;78.04;0.00;0.00;429.97;0.00;0.00;0.00;105.31;33.21;529.40;0.00;669.79;1.44;0.00;74.39;11.64;0.00;0.02;0.00;98.75;0.00;0.00;0.00;0.00;0.00;0.30;44.70;15.72;0.00
421100;58.53;0.00;0.00;250.11;0.00;23.48;0.00;152.14;18.15;604.42;0.00;714.50;23.46;0.00;203.10;1.11;21.59;0.00;0.00;232.01;0.00;19.42;41.17;1.32;0.00;334.35;46.60;1.47;0.00
291630;126.93;10.77;0.00;946.12;0.00;0.00;0.00;23.90;0.00;491.99;0.00;866.62;42.19;0.00;51.44;3.74;0.00;0.00;0.00;0.00;0.00;0.00;43.03;0.00;0.00;29.55;0.72;13.00;0.00
521770;93.02;0.53;0.00;206.20;0.00;20.65;0.00;115.92;79.79;667.07;22.94;448.10;2.03;0.00;151.35;0.00;0.00;7.53;0.00;17.10;0.00;0.00;5.78;0.07;0.00;57.98;42.41;24.50;0.00
140010;76.60;0.00;0.00;355.34;0.00;81.25;0.00;115.30;28.04;428.97;0.00;684.37;24.66;0.63;574.75;1.50;221.56;28.60;0.46;0.00;0.00;0.00;2.64;0.00;0.00;47.18;5.90;26.83;125.10
