#Cidade;População;Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias)
412730;4.209434582190905;6.09;0.00;0.00;6.72;0.00;5.44;0.00;6.20;6.50;6.98;0.00;6.91;5.39;0.00;6.45;4.91;6.29;5.07;0.00;5.54;0.00;0.00;4.99;0.00;0.00;6.02;5.52;6.21;6.30
350530;4.560086048497414;6.31;0.00;0.00;7.19;0.00;3.63;0.00;6.46;0.00;7.33;0.00;7.36;5.89;0.00;6.86;0.00;7.02;6.63;0.00;0.00;0.00;0.00;6.14;0.00;0.00;0.00;6.26;5.18;0.00
210820;4.5863847366943515;6.25;0.00;0.00;6.86;0.00;4.48;0.00;6.18;6.84;7.39;0.00;7.40;6.09;4.72;6.97;0.00;0.00;5.33;0.00;5.24;0.00;0.00;0.00;0.00;0.00;5.34;5.05;5.64;0.00
431306;4.297410308897391;6.25;0.00;0.00;6.70;0.00;3.77;0.00;6.03;5.92;6.98;0.00;7.24;5.74;0.00;6.64;4.94;6.39;4.78;0.00;5.40;0.00;0.00;4.37;0.00;0.00;6.02;5.71;6.00;6.25
350500;3.5219222448835006;5.78;0.00;0.00;6.64;0.00;0.00;0.00;5.71;3.84;6.51;0.00;6.41;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.75;0.00;0.00;0.00;0.00;0.00;0.00;4.48;5.12;0.00
430055;3.2650537885040145;5.53;0.00;0.00;6.17;0.00;4.90;0.00;5.61;5.62;6.36;0.00;6.14;4.57;0.00;5.71;5.24;5.05;5.07;0.00;5.81;0.00;5.11;4.67;4.70;4.82;6.14;5.28;5.04;5.58
110090;3.5626496722119168;5.78;0.00;0.00;6.48;0.00;0.00;0.00;5.95;5.79;6.56;0.00;6.66;3.75;0.00;5.05;0.00;4.36;0.00;0.00;6.01;0.00;0.00;0.00;0.00;0.00;6.00;5.29;4.42;0.00
230640;5.0920641465730005;6.60;0.00;0.00;6.95;0.00;0.00;0.00;6.83;6.79;7.72;0.00;7.93;5.87;6.21;7.13;0.00;6.36;5.50;0.00;6.20;0.00;0.00;5.36;0.00;5.21;6.08;5.78;6.76;6.59
110030;4.953261827700609;6.82;0.00;0.00;7.67;4.20;0.00;0.00;6.70;6.60;7.80;0.00;7.69;5.83;0.00;6.90;0.00;6.27;6.01;0.00;6.68;0.00;0.00;0.00;0.00;6.46;6.25;6.10;6.43;6.59
230490;4.031771907514002;5.94;0.00;0.00;6.24;0.00;0.00;0.00;6.03;0.00;6.78;0.00;7.01;5.49;0.00;6.35;0.00;4.52;0.00;0.00;5.44;0.00;0.00;0.00;0.00;0.00;0.00;4.86;6.13;0.00
353850;4.152257759187656;6.06;0.00;4.38;6.37;0.00;5.59;0.00;5.97;5.46;6.86;0.00;6.85;4.64;0.00;6.46;0.00;5.30;5.43;0.00;5.41;0.00;0.00;5.81;0.00;0.00;4.66;5.36;5.09;0.00
510450;3.401055725771844;5.78;0.00;0.00;6.63;0.00;0.00;0.00;6.07;0.00;6.33;5.07;6.37;5.64;0.00;0.00;0.00;0.00;3.40;0.00;4.01;0.00;0.00;0.00;0.00;0.00;0.00;5.01;4.91;0.00
110149;4.270445908017963;6.20;0.00;0.00;7.01;0.00;0.00;0.00;6.18;5.75;7.02;0.00;7.17;0.00;0.00;6.14;0.00;5.22;0.00;0.00;6.38;0.00;0.00;0.00;0.00;5.38;6.36;5.66;6.03;0.00
