#Codigo;Cidade;População;Despesas (Exceto Intraorçamentárias);Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias);LOF_2013_REL_NOR;LOF_2013_SUA_NOR
292205;Mulungu do Morro - BA;12191.0;20873125.57;732698.72;0.00;0.00;2225017.06;0.00;0.00;0.00;675283.95;0.00;4783445.91;0.00;9908824.03;252216.64;0.00;1294234.64;0.00;70842.57;26354.16;0.00;104050.34;0.00;0.00;0.00;50157.50;37980.71;191241.23;9856.80;510921.31;0.00;1.08;1.01
355690;Vista Alegre do Alto - SP;7652.0;22036918.04;580711.02;0.00;0.00;3089028.77;0.00;494672.70;0.00;597988.73;396110.00;6951242.95;0.00;6941290.99;41815.90;0.00;976291.60;0.00;391152.83;2540.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;875165.86;370208.22;328698.15;0.00;1.25;1.21
420127;Arabutã - SC;4270.0;14436244.75;608705.43;0.00;0.00;1510818.41;0.00;82062.24;0.00;403386.71;0.00;3184892.64;0.00;3443909.08;76136.62;12780.00;1329348.78;0.00;203143.06;44593.08;0.00;1071759.42;0.00;0.00;16338.99;0.00;0.00;1643029.32;164592.91;640748.06;0.00;1.17;1.21
420285;Braço do Trombudo - SC;3599.0;14468233.69;470929.46;0.00;0.00;1823493.40;0.00;59933.98;0.00;264629.18;529285.00;2790933.87;0.00;4186710.88;477328.47;0.00;178193.16;0.00;495528.95;0.00;0.00;699234.67;0.00;0.00;0.00;60741.09;96724.81;1498510.12;349181.94;486874.71;0.00;1.49;1.02
412750;Tibagi - PR;20184.0;41530355.59;0.00;0.00;209650.18;8314795.24;0.00;41849.29;0.00;1410370.88;693337.75;8316063.33;0.00;11801832.93;437720.50;0.00;2120940.15;273099.57;384213.71;356513.35;0.00;682685.05;0.00;222133.47;854398.98;0.00;351485.10;3323570.27;592789.72;1142906.12;3237581.45;1.32;1.17
432285;Vespasiano Correa - RS;1997.0;9516521.72;358706.18;0.00;0.00;1160223.09;0.00;0.00;0.00;286399.18;0.00;2738260.49;0.00;1408924.48;91299.71;0.00;160926.24;0.00;8369.26;0.00;0.00;634951.56;0.00;0.00;216265.60;0.00;447221.76;1979834.17;25140.00;0.00;0.00;2.83;1.12
421569;Santiago do Sul - SC;1414.0;7902858.64;346116.68;0.00;0.00;1294923.53;0.00;0.00;0.00;371749.35;0.00;1698557.13;0.00;1531102.90;79454.84;0.00;157122.32;6096.59;19884.89;0.00;0.00;955690.81;0.00;206970.13;0.00;0.00;0.00;1053363.22;85820.68;96005.57;0.00;1.57;1.09
354900;São Francisco - SP;2864.0;9921712.53;519725.72;0.00;0.00;1242371.31;0.00;0.00;0.00;743869.87;704393.97;2552198.07;0.00;1579245.08;131179.29;0.00;1088094.90;0.00;0.00;0.00;0.00;181557.24;0.00;0.00;0.00;0.00;0.00;808947.46;176686.56;193443.06;0.00;1.25;0.99
241142;Santana do Seridó - RN;2647.0;9418833.17;520104.00;0.00;0.00;1545651.82;0.00;0.00;0.00;653845.66;0.00;2340075.60;0.00;2408600.26;114847.46;0.00;1214003.51;0.00;0.00;0.00;0.00;372484.01;0.00;0.00;0.00;0.00;0.00;0.00;249220.85;0.00;0.00;1.16;1.03
355495;Tuiuti - SP;6369.0;15239142.41;487204.35;0.00;0.00;1890346.65;0.00;0.00;0.00;695372.79;0.00;2878085.65;0.00;5523197.60;173460.39;0.00;2629592.94;0.00;769830.41;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;22353.23;77789.69;91908.71;154859.35;1.24;1.20
420780;Irani - SC;9948.0;20147300.57;819002.81;0.00;0.00;2652213.65;0.00;66535.43;0.00;855102.33;0.00;4881725.62;0.00;7103861.31;254520.22;0.00;917644.36;77145.47;500000.00;16800.00;0.00;433647.88;0.00;0.00;7410.96;12500.00;0.00;1392511.79;151823.29;4855.45;0.00;1.19;1.04
432210;Tucunduva - RS;6024.0;13322434.52;420162.05;0.00;0.00;3457044.85;0.00;430.00;0.00;199666.47;1626727.68;3702194.14;0.00;2201138.00;96861.89;0.00;179622.53;304.70;0.00;225.00;0.00;474031.16;0.00;124489.31;0.00;64.00;0.00;745926.59;92802.09;744.06;1123670.09;1.30;1.09
