#Codigo;Legislativa(2019);Judiciária(2019);Essencial à Justiça(2019);Administração(2019);Defesa Nacional(2019);Segurança Pública(2019);Relações Exteriores(2019);Assistência Social(2019);Previdência Social(2019);Saúde(2019);Trabalho(2019);Educação(2019);Cultura(2019);Direitos da Cidadania(2019);Urbanismo(2019);Habitação(2019);Saneamento(2019);Gestão Ambiental(2019);Ciência e Tecnologia(2019);Agricultura(2019);Organização Agrária(2019);Indústria(2019);Comércio e Serviços(2019);Comunicações(2019);Energia(2019);Transporte(2019);Desporto e Lazer(2019);Encargos Especiais(2019);Despesas (Intraorçamentárias)(2019);Legislativa(2020);Judiciária(2020);Essencial à Justiça(2020);Administração(2020);Defesa Nacional(2020);Segurança Pública(2020);Relações Exteriores(2020);Assistência Social(2020);Previdência Social(2020);Saúde(2020);Trabalho(2020);Educação(2020);Cultura(2020);Direitos da Cidadania(2020);Urbanismo(2020);Habitação(2020);Saneamento(2020);Gestão Ambiental(2020);Ciência e Tecnologia(2020);Agricultura(2020);Organização Agrária(2020);Indústria(2020);Comércio e Serviços(2020);Comunicações(2020);Energia(2020);Transporte(2020);Desporto e Lazer(2020);Encargos Especiais(2020);Despesas (Intraorçamentárias)(2020)
420170;-0.31;-0.27;-0.15;0.09;-0.08;0.26;-0.02;-0.80;-0.64;-0.38;-0.18;-0.92;-0.43;-0.09;1.09;-0.14;-0.32;-0.39;-0.09;0.38;-0.03;-0.18;0.17;-0.21;-0.40;-0.59;-0.19;-0.83;-0.30;-0.31;-0.27;-0.15;0.09;-0.08;0.26;-0.02;-0.80;-0.64;-0.38;-0.18;-0.92;-0.43;-0.09;1.09;-0.14;-0.32;-0.39;-0.09;0.38;-0.03;-0.18;0.17;-0.21;-0.40;-0.59;-0.19;-0.83;-0.30
230130;-0.26;-0.27;-0.15;0.27;-0.08;-0.31;-0.02;-0.27;-0.14;-0.85;-0.18;0.55;-0.52;-0.05;-0.20;1.86;-0.32;-0.22;-0.09;-0.58;-0.03;-0.18;0.06;-0.21;-0.40;-0.57;-0.59;-0.47;-0.30;-0.26;-0.27;-0.15;0.27;-0.08;-0.31;-0.02;-0.27;-0.14;-0.85;-0.18;0.55;-0.52;-0.05;-0.20;1.86;-0.32;-0.22;-0.09;-0.58;-0.03;-0.18;0.06;-0.21;-0.40;-0.57;-0.59;-0.47;-0.30
410210;-0.40;-0.27;1.86;-0.67;0.16;0.80;-0.02;0.06;0.47;-0.53;0.71;-0.90;-0.23;-0.09;0.25;-0.14;-0.32;0.19;-0.09;-0.32;-0.03;-0.02;-0.21;-0.21;-0.40;-0.16;-0.03;0.29;0.58;-0.40;-0.27;1.86;-0.67;0.16;0.80;-0.02;0.06;0.47;-0.53;0.71;-0.90;-0.23;-0.09;0.25;-0.14;-0.32;0.19;-0.09;-0.32;-0.03;-0.02;-0.21;-0.21;-0.40;-0.16;-0.03;0.29;0.58
312595;-0.03;-0.12;-0.15;-0.36;-0.08;-0.05;-0.02;-0.37;-0.64;0.05;-0.18;-0.67;-0.45;-0.09;-0.64;-0.08;0.14;-0.12;-0.09;-0.32;-0.03;-0.18;-0.29;0.42;-0.33;-0.39;-0.22;-0.14;-0.28;-0.03;-0.12;-0.15;-0.36;-0.08;-0.05;-0.02;-0.37;-0.64;0.05;-0.18;-0.67;-0.45;-0.09;-0.64;-0.08;0.14;-0.12;-0.09;-0.32;-0.03;-0.18;-0.29;0.42;-0.33;-0.39;-0.22;-0.14;-0.28
110001;-0.10;-0.27;-0.15;-0.26;-0.08;-0.31;-0.02;-1.05;-0.64;-0.24;-0.18;-0.90;-0.73;-0.09;-0.39;-0.14;-0.27;-0.39;-0.09;-0.13;-0.03;-0.18;-0.29;-0.21;-0.40;-0.21;0.10;-0.55;-0.30;-0.10;-0.27;-0.15;-0.26;-0.08;-0.31;-0.02;-1.05;-0.64;-0.24;-0.18;-0.90;-0.73;-0.09;-0.39;-0.14;-0.27;-0.39;-0.09;-0.13;-0.03;-0.18;-0.29;-0.21;-0.40;-0.21;0.10;-0.55;-0.30
330455;0.06;0.61;-0.15;-0.57;-0.08;2.82;-0.02;0.01;4.68;0.13;-0.08;-0.50;0.34;0.10;1.99;1.19;0.98;0.15;1.51;-0.58;-0.03;-0.10;0.52;-0.21;-0.40;-0.31;-0.19;2.42;4.52;0.06;0.61;-0.15;-0.57;-0.08;2.82;-0.02;0.01;4.68;0.13;-0.08;-0.50;0.34;0.10;1.99;1.19;0.98;0.15;1.51;-0.58;-0.03;-0.10;0.52;-0.21;-0.40;-0.31;-0.19;2.42;4.52
316540;0.14;-0.27;-0.15;-0.70;-0.08;-0.31;-0.02;-0.95;0.29;-0.76;-0.12;-0.34;0.53;-0.09;-0.71;-0.14;0.14;-0.39;-0.09;-0.50;-0.03;-0.18;-0.29;-0.21;0.87;0.34;-0.42;-0.41;-0.30;0.14;-0.27;-0.15;-0.70;-0.08;-0.31;-0.02;-0.95;0.29;-0.76;-0.12;-0.34;0.53;-0.09;-0.71;-0.14;0.14;-0.39;-0.09;-0.50;-0.03;-0.18;-0.29;-0.21;0.87;0.34;-0.42;-0.41;-0.30
231210;-0.13;-0.27;-0.15;-0.65;-0.08;-0.31;-0.02;-0.11;-0.64;-0.39;-0.18;0.61;-0.73;-0.09;-0.26;0.12;0.43;-0.30;-0.09;-0.40;-0.03;-0.18;0.45;-0.21;0.12;-0.59;-0.59;-0.83;-0.30;-0.13;-0.27;-0.15;-0.65;-0.08;-0.31;-0.02;-0.11;-0.64;-0.39;-0.18;0.61;-0.73;-0.09;-0.26;0.12;0.43;-0.30;-0.09;-0.40;-0.03;-0.18;0.45;-0.21;0.12;-0.59;-0.59;-0.83;-0.30
320530;-0.13;-0.27;2.58;0.15;-0.08;2.66;-0.02;0.51;5.12;0.72;-0.04;0.90;0.41;2.22;2.60;1.28;0.48;3.84;-0.09;-0.58;-0.03;-0.18;0.11;9.84;-0.40;-0.59;0.02;2.88;2.75;-0.13;-0.27;2.58;0.15;-0.08;2.66;-0.02;0.51;5.12;0.72;-0.04;0.90;0.41;2.22;2.60;1.28;0.48;3.84;-0.09;-0.58;-0.03;-0.18;0.11;9.84;-0.40;-0.59;0.02;2.88;2.75
311720;0.38;-0.27;-0.15;0.14;-0.08;-0.31;-0.02;-0.21;1.33;1.71;-0.18;-0.40;0.63;-0.09;0.03;-0.14;0.36;-0.39;-0.09;0.01;-0.03;-0.18;-0.19;1.26;2.44;0.92;0.25;-0.83;-0.30;0.38;-0.27;-0.15;0.14;-0.08;-0.31;-0.02;-0.21;1.33;1.71;-0.18;-0.40;0.63;-0.09;0.03;-0.14;0.36;-0.39;-0.09;0.01;-0.03;-0.18;-0.19;1.26;2.44;0.92;0.25;-0.83;-0.30
