#Codigo;População 2019;Legislativa(2019);Judiciária(2019);Essencial à Justiça(2019);Administração(2019);Defesa Nacional(2019);Segurança Pública(2019);Relações Exteriores(2019);Assistência Social(2019);Previdência Social(2019);Saúde(2019);Trabalho(2019);Educação(2019);Cultura(2019);Direitos da Cidadania(2019);Urbanismo(2019);Habitação(2019);Saneamento(2019);Gestão Ambiental(2019);Ciência e Tecnologia(2019);Agricultura(2019);Organização Agrária(2019);Indústria(2019);Comércio e Serviços(2019);Comunicações(2019);Energia(2019);Transporte(2019);Desporto e Lazer(2019);Encargos Especiais(2019);Despesas (Intraorçamentárias)(2019);Legislativa(2020);Judiciária(2020);Essencial à Justiça(2020);Administração(2020);Defesa Nacional(2020);Segurança Pública(2020);Relações Exteriores(2020);Assistência Social(2020);Previdência Social(2020);Saúde(2020);Trabalho(2020);Educação(2020);Cultura(2020);Direitos da Cidadania(2020);Urbanismo(2020);Habitação(2020);Saneamento(2020);Gestão Ambiental(2020);Ciência e Tecnologia(2020);Agricultura(2020);Organização Agrária(2020);Indústria(2020);Comércio e Serviços(2020);Comunicações(2020);Energia(2020);Transporte(2020);Desporto e Lazer(2020);Encargos Especiais(2020);Despesas (Intraorçamentárias)(2020)
280010;-1.457088552854342;0.28;1.66;-0.30;-0.16;-0.25;-0.80;-0.04;-0.21;-1.02;-0.58;-0.48;-0.55;-2.73;-0.32;0.07;-0.66;-1.21;-1.18;-0.20;0.30;-0.09;-0.47;-0.76;-0.51;-0.65;0.15;0.66;-1.77;-0.47;0.28;1.66;-0.30;-0.16;-0.25;-0.80;-0.04;-0.21;-1.02;-0.58;-0.48;-0.55;-2.73;-0.32;0.07;-0.66;-1.21;-1.18;-0.20;0.30;-0.09;-0.47;-0.76;-0.51;-0.65;0.15;0.66;-1.77;-0.47
270040;1.107437267973961;0.58;1.13;-0.30;0.73;-0.25;1.66;-0.04;0.29;1.26;0.55;2.18;0.79;0.73;-0.32;0.52;1.15;-0.04;-1.18;-0.20;0.04;-0.09;-0.47;-0.76;-0.51;-0.65;0.34;0.70;-1.77;-0.47;0.58;1.13;-0.30;0.73;-0.25;1.66;-0.04;0.29;1.26;0.55;2.18;0.79;0.73;-0.32;0.52;1.15;-0.04;-1.18;-0.20;0.04;-0.09;-0.47;-0.76;-0.51;-0.65;0.34;0.70;-1.77;-0.47
292770;0.6622800602146758;0.53;-0.53;3.32;0.64;-0.25;-0.80;-0.04;0.54;-1.02;0.39;-0.48;0.61;-2.73;-0.32;0.15;1.41;-1.21;-1.18;-0.20;-2.87;-0.09;-0.47;1.63;-0.51;-0.65;0.49;0.26;0.65;-0.47;0.53;-0.53;3.32;0.64;-0.25;-0.80;-0.04;0.54;-1.02;0.39;-0.48;0.61;-2.73;-0.32;0.15;1.41;-1.21;-1.18;-0.20;-2.87;-0.09;-0.47;1.63;-0.51;-0.65;0.49;0.26;0.65;-0.47
352585;-1.23846945670561;0.30;-0.53;-0.30;-0.27;-0.25;0.76;-0.04;-0.16;0.83;-0.36;-0.48;-0.42;0.62;2.84;-0.06;-0.66;0.85;-1.18;-0.20;0.08;-0.09;-0.47;-0.76;-0.51;-0.65;0.16;0.50;0.35;-0.47;0.30;-0.53;-0.30;-0.27;-0.25;0.76;-0.04;-0.16;0.83;-0.36;-0.48;-0.42;0.62;2.84;-0.06;-0.66;0.85;-1.18;-0.20;0.08;-0.09;-0.47;-0.76;-0.51;-0.65;0.16;0.50;0.35;-0.47
250860;-0.028210092623750224;0.36;-0.53;2.98;-0.05;-0.25;-0.80;-0.04;0.18;1.06;-0.00;2.06;0.06;0.32;-0.32;0.35;1.11;-1.21;-1.18;-0.20;-2.87;-0.09;-0.47;1.49;-0.51;-0.65;-1.92;0.27;0.54;-0.47;0.36;-0.53;2.98;-0.05;-0.25;-0.80;-0.04;0.18;1.06;-0.00;2.06;0.06;0.32;-0.32;0.35;1.11;-1.21;-1.18;-0.20;-2.87;-0.09;-0.47;1.49;-0.51;-0.65;-1.92;0.27;0.54;-0.47
251480;-1.0590998253548005;0.26;-0.53;-0.30;-0.72;-0.25;-0.80;-0.04;-0.49;0.88;-0.45;-0.48;-0.66;0.59;-0.32;-0.11;1.40;0.08;-1.18;-0.20;0.59;-0.09;-0.47;-0.76;-0.51;-0.65;0.15;-3.01;-1.77;-0.47;0.26;-0.53;-0.30;-0.72;-0.25;-0.80;-0.04;-0.49;0.88;-0.45;-0.48;-0.66;0.59;-0.32;-0.11;1.40;0.08;-1.18;-0.20;0.59;-0.09;-0.47;-0.76;-0.51;-0.65;0.15;-3.01;-1.77;-0.47
521975;1.4282823184319309;0.58;2.13;3.15;0.78;-0.25;1.42;-0.04;0.70;1.22;0.83;2.29;0.99;0.14;2.87;0.74;-0.66;1.29;1.03;-0.20;0.24;-0.09;2.45;-0.76;2.64;-0.65;0.49;0.32;0.57;-0.47;0.58;2.13;3.15;0.78;-0.25;1.42;-0.04;0.70;1.22;0.83;2.29;0.99;0.14;2.87;0.74;-0.66;1.29;1.03;-0.20;0.24;-0.09;2.45;-0.76;2.64;-0.65;0.49;0.32;0.57;-0.47
410800;-0.10996303921479807;-2.39;-0.53;-0.30;-0.29;-0.25;-0.80;-0.04;0.12;-1.02;0.08;1.71;-0.21;-2.73;-0.32;0.19;1.16;-1.21;-1.18;-0.20;0.20;-0.09;2.13;-0.76;-0.51;-0.65;0.61;0.25;0.70;-0.47;-2.39;-0.53;-0.30;-0.29;-0.25;-0.80;-0.04;0.12;-1.02;0.08;1.71;-0.21;-2.73;-0.32;0.19;1.16;-1.21;-1.18;-0.20;0.20;-0.09;2.13;-0.76;-0.51;-0.65;0.61;0.25;0.70;-0.47
314530;0.7737032379148079;0.49;1.73;3.34;-0.28;-0.25;1.76;-0.04;0.57;-1.02;0.33;-0.48;0.35;0.71;-0.32;0.09;1.48;0.93;0.72;-0.20;0.65;-0.09;-0.47;-0.76;1.89;-0.65;0.72;0.61;0.75;-0.47;0.49;1.73;3.34;-0.28;-0.25;1.76;-0.04;0.57;-1.02;0.33;-0.48;0.35;0.71;-0.32;0.09;1.48;0.93;0.72;-0.20;0.65;-0.09;-0.47;-0.76;1.89;-0.65;0.72;0.61;0.75;-0.47
310610;-1.1183351692485546;0.21;-0.53;-0.30;-0.64;-0.25;-0.80;-0.04;-0.22;0.95;-0.19;-0.48;-0.53;0.48;-0.32;-0.32;-0.66;0.83;0.52;-0.20;0.11;-0.09;1.79;-0.76;-0.51;-0.65;0.64;-0.01;0.33;-0.47;0.21;-0.53;-0.30;-0.64;-0.25;-0.80;-0.04;-0.22;0.95;-0.19;-0.48;-0.53;0.48;-0.32;-0.32;-0.66;0.83;0.52;-0.20;0.11;-0.09;1.79;-0.76;-0.51;-0.65;0.64;-0.01;0.33;-0.47
