#Codigo;População;Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias)
510795;1.671094340544026;0.73;-0.55;-0.30;1.72;-0.24;1.27;-0.04;1.04;1.19;1.34;1.37;1.19;0.42;3.03;0.90;1.30;1.33;1.14;-0.20;0.80;-0.09;-0.47;1.48;2.55;-0.65;0.99;0.62;0.30;-0.49
240450;0.0770101573837478;0.81;-0.55;-0.30;1.32;-0.24;1.79;-0.04;1.85;-1.00;1.11;-0.48;1.11;1.08;-0.35;1.05;1.93;-1.20;1.20;-0.20;0.91;-0.09;2.16;1.68;-0.49;-0.65;0.87;1.21;-1.86;-0.49
251180;-0.18253579442952655;0.33;-0.55;-0.30;-1.13;-0.24;-0.82;-0.04;0.04;0.88;-0.43;-0.48;-0.37;0.05;-0.35;0.07;-0.66;-1.20;-1.27;-0.20;0.23;-0.09;-0.47;-0.78;-0.49;-0.65;0.19;-0.11;0.30;1.80
251140;0.3042352079051107;0.42;-0.55;-0.30;-0.52;-0.24;-0.82;-0.04;0.34;1.15;0.26;0.85;0.29;0.48;-0.35;0.10;-0.66;0.34;-1.27;-0.20;0.61;-0.09;-0.47;-0.78;-0.49;1.63;-0.09;-0.09;0.41;1.73
150200;0.44996464576475564;-2.34;-0.55;-0.30;-0.17;-0.24;-0.82;-0.04;0.12;0.93;0.02;-0.48;0.52;0.25;-0.35;0.31;-0.66;0.74;-0.23;-0.20;0.35;-0.09;-0.47;-0.78;-0.49;1.20;-0.06;-0.88;-1.86;-0.49
290090;-0.6311628853878382;0.00;1.85;-0.30;-0.19;-0.24;-0.82;-0.04;-0.37;-1.00;-0.64;-0.48;-0.40;0.14;-0.35;-0.54;1.18;-1.20;-1.27;-0.20;-0.04;-0.09;-0.47;-0.78;-0.49;-0.65;-0.31;-0.82;0.45;-0.49
311380;-1.3834997067892163;0.28;1.47;-0.30;-0.74;-0.24;0.76;-0.04;-0.27;0.96;-0.66;1.95;-1.00;0.42;-0.35;-0.27;1.39;0.28;0.59;-0.20;0.21;-0.09;-0.47;-0.78;-0.49;1.04;0.37;-0.08;0.36;1.72
270644;-0.024154158069518237;0.35;1.33;-0.30;-0.52;-0.24;-0.82;-0.04;-0.13;-1.00;-0.34;1.83;0.03;0.67;-0.35;0.20;-0.66;-1.20;0.67;-0.20;-0.11;-0.09;-0.47;1.28;1.96;0.32;0.51;-0.38;-1.86;-0.49
130240;1.0073664093342567;0.56;-0.55;-0.30;0.81;-0.24;1.48;-0.04;0.80;-1.00;0.39;-0.48;0.84;0.61;-0.35;-0.43;-0.66;0.60;-1.27;-0.20;0.74;-0.09;-0.47;-0.78;-0.49;-0.65;0.15;0.64;0.71;-0.49
521878;-1.0477688721197898;0.44;-0.55;-0.30;0.08;-0.24;0.89;-0.04;0.26;0.95;-0.31;2.10;-0.50;-3.08;-0.35;0.20;-0.66;1.03;1.02;-0.20;-0.18;-0.09;-0.47;1.58;-0.49;1.53;-0.06;0.12;-1.86;-0.49
314040;-1.2680241540234523;0.27;1.39;-0.30;-1.22;-0.24;0.94;-0.04;-1.36;0.83;-0.77;-0.48;-0.95;0.27;-0.35;-0.22;1.32;0.76;-1.27;-0.20;0.12;-0.09;-0.47;1.06;1.81;1.36;0.54;0.15;-1.86;-0.49
270580;-0.29785885856755556;0.34;-0.55;-0.30;0.12;-0.24;-0.82;-0.04;-0.29;-1.00;-0.38;-0.48;-0.09;0.13;-0.35;-0.73;-0.66;1.03;-1.27;-0.20;0.11;-0.09;-0.47;-0.78;-0.49;-0.65;-1.85;-3.51;-1.86;-0.49
270310;0.5907685626359465;0.46;-0.55;3.29;0.16;-0.24;-0.82;-0.04;0.32;1.16;0.39;-0.48;0.61;-1.06;-0.35;0.25;-0.19;-1.20;-1.27;-0.20;0.63;-0.09;2.08;0.73;-0.49;-0.65;-1.85;0.60;-1.86;-0.49
520890;0.5420363399640622;0.51;1.61;2.79;0.00;-0.24;1.28;-0.04;0.11;-1.00;0.79;-0.48;0.10;0.62;2.66;0.27;-0.66;0.21;0.80;-0.20;0.50;-0.09;-0.47;1.37;-0.49;1.87;0.55;0.37;0.91;-0.49
330050;0.5929293624632674;0.56;2.04;-0.30;0.79;-0.24;1.59;-0.04;0.41;1.25;0.67;2.25;0.37;-0.49;-0.35;0.80;-0.66;-1.20;0.51;-0.20;0.32;-0.09;-0.47;1.63;1.69;-0.65;0.77;0.55;0.45;2.17
