#Codigo;Cidade;GAUSSIAN-MODEL_REL_NOR;SVM_REL_NOR;COP_REL_NOR;OPTICS_REL_NOR;LOF_REL_NOR;GAUSSIAN-MODEL_SUA_NOR;SVM_SUA_NOR;COP_SUA_NOR;OPTICS_SUA_NOR;LOF_SUA_NOR
420205;Balneário Barra do Sul - SC;1;-709,31;0,99;1,7;1,7;1;-5735,09;1;1,27;1,28
251190;Pitimbu - PB;1;-730,34;1;1,69;1,7;1;7188,26;1;1,86;1,88
432370;Vista Gaúcha - RS;1;-804,04;1;1,52;1,54;1;-7190,39;1;1,18;1,18
140070;Uiramutã - RR;1;-856,69;1;2,2;2,21;1;106870,54;1;3,02;3,05
410490;Castro - PR;1;-861,39;0,03;1,84;1,88;1;491,69;1;1,23;1,24
355530;Turmalina - SP;1;-896,27;0,04;1,51;1,51;1;-5731,07;0;1,07;1,07
420245;Bombinhas - SC;1;-969,14;1;1,99;2,01;1;-7902,35;1;1,2;1,21
431513;Pouso Novo - RS;1;-996,23;0,07;1,36;1,37;1;1631,13;0,02;1,2;1,21
430435;Candiota - RS;1;-1018,88;1;2,18;2,22;1;3431,62;1;1,33;1,34
350040;Águas da Prata - SP;1;-1043,35;0,32;1,69;1,7;1;-6694,8;0,97;1,27;1,27
420270;Botuverá - SC;1;-1047,29;1;1,81;1,82;1;-8256,13;0,9;1,17;1,17
431308;Nova Pádua - RS;1;-1073,83;1;1,72;1,73;1;-4762,95;1;1,23;1,23
251270;Remígio - PB;1;-1088,97;0,68;1,65;1,65;1;-5951,1;1;1,25;1,26
355475;Trabiju - SP;1;-1112,88;1;1,84;1,84;1;-5015,62;1;1,02;1,02
330390;Petrópolis - RJ;1;-1146,74;1;2,02;2,04;1;3680,33;0,49;1,08;1,08
351492;Elisiário - SP;1;-1178;0,01;1,57;1,59;1;-6513,67;0,11;1,15;1,15
431403;Pareci Novo - RS;1;-1178,7;1;1,86;1,88;1;-470,87;1;1,39;1,38
314710;Pará de Minas - MG;1;-1229,42;1;2,56;2,61;1;-6470,15;1;1,17;1,18
430070;Anta Gorda - RS;1;-1268,05;0,95;1,8;1,82;1;-5820,23;1;1,09;1,09
220630;Miguel Leão - PI;1;-1395,51;0,39;1,85;1,87;1;-4968,89;0,99;1,12;1,12
314940;Pedro Teixeira - MG;1;-1438,7;0,99;1,85;1,85;1;-5345,36;1;1,04;1,04
330380;Paraty - RJ;1;-1502,12;1;2;2,01;1;-4517,29;1;1,18;1,19
317160;Virgem da Lapa - MG;1;-1522,64;0,35;1,68;1,69;1;-8896,57;0,41;1,06;1,06
211030;Santo Antônio dos Lopes - MA;1;-1541,14;1;2,02;2,04;1;-5121,72;1;1,04;1,04
280330;Japaratuba - SE;1;-1607,71;1;2,14;2,15;1;-4864,12;1;1,26;1,26
353180;Monte Mor - SP;1;-1658,89;1;1,95;1,97;1;-6157,65;1;1,3;1,3
270030;Arapiraca - AL;1;-1671,59;0,86;1,9;1,92;1;1535,24;1;1,26;1,27
355520;Turiúba - SP;1;-1758,87;0,91;1,7;1,7;1;-7277,54;0,02;1,07;1,08
313540;Jeceaba - MG;1;-1809,73;1;2,06;2,07;1;-7423,81;1;1,08;1,08
160023;Ferreira Gomes - AP;1;-1829,75;1;1,82;1,84;1;-7003,25;0,03;1,09;1,1
313640;Joaquim Felício - MG;1;-1830,13;0,2;1,81;1,83;1;-6577,5;0,09;1,04;1,05
431270;Nonoai - RS;1;-1862,07;1;1,99;2,01;1;-9706,87;1;1,09;1,09
314000;Mariana - MG;1;-1974,9;1;1,88;1,89;1;-2907,99;0,03;1,1;1,11
351490;Elias Fausto - SP;1;-1988,76;0,01;1,6;1,61;1;-7484,33;1;1,16;1,16
431531;Quatro Irmãos - RS;1;-2025,81;1;1,43;1,44;1;-5522,27;1;1,1;1,1
510631;Novo Santo Antônio - MT;1;-2039,41;0,99;1,85;1,87;1;2036,45;1;1,24;1,24
411880;Peabiru - PR;1;-2109,04;0,55;2,19;2,21;1;1762,83;1;1,42;1,42
432225;Tupandi - RS;1;-2112,64;1;1,79;1,8;1;-1214,49;1;1,44;1,44
130040;Barcelos - AM;1;-2119,78;1;1,53;1,55;1;-6020,88;0,99;1,11;1,11
411573;Mato Rico - PR;1;-2150,4;0,98;1,77;1,78;1;-5782,61;0,01;1,03;1,03
130002;Alvarães - AM;1;-2206,25;0,11;1,48;1,48;1;-5835,18;0,03;1,04;1,04
351200;Colina - SP;1;-2224,99;0,01;1,6;1,62;1;-8834,47;0,23;1,09;1,09
211110;São João dos Patos - MA;1;-2237,61;0,96;2,58;2,6;1;-5297,81;1;1,3;1,31
430480;Carlos Barbosa - RS;1;-2249,76;1;2,07;2,08;1;-1500,14;0,55;1,24;1,24
420475;Cunhataí - SC;1;-2272,8;1;1,45;1,45;1;-4513,24;0,94;1,04;1,04
421165;Novo Horizonte - SC;1;-2323,79;0,01;1,29;1,29;1;-5678,91;1;1,18;1,18
353410;Oriente - SP;1;-2363,74;1;2,33;2,36;1;-6062,46;1;1,22;1,22
421895;Urupema - SC;1;-2400,61;0,45;1,66;1,69;1;-5695,03;0,98;1,05;1,05
521470;Nova América - GO;1;-2411,09;1;1,8;1,81;1;-6135,62;0,1;1,07;1,07
354970;São José do Rio Pardo - SP;1;-2452,23;1;1,71;1,73;1;-6553,5;1;1,17;1,17
521060;Itaguaru - GO;1;-2497,65;0,92;1,68;1,68;1;-4927,28;1;1,29;1,3
521150;Itumbiara - GO;1;-2536,98;0,99;1,71;1,72;1;-5009,35;1;1,25;1,25
422000;Balneário Rincão - SC;1;-2559,58;0,23;1,65;1,67;1;-8380,59;0,78;1,04;1,04
241200;São Gonçalo do Amarante - RN;1;-2568,66;0,03;1,72;1,75;1;-3753,98;1;1,45;1,45
