#Codigo;Cidade;População;Despesas (Exceto Intraorçamentárias);Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias);GAUSSIAN-MODEL_REL_NOR;SVM_REL_NOR;COP_REL_NOR;OPTICS_REL_NOR;LOF_REL_NOR;GAUSSIAN-MODEL_SUA_NOR;SVM_SUA_NOR;COP_SUA_NOR;OPTICS_SUA_NOR;LOF_SUA_NOR
411722;Nova Santa Rosa - PR;8044.0;24709716.69;727997.31;0.00;0.00;3094102.94;0.00;0.00;0.00;961814.43;0.00;4129039.43;0.00;5140545.22;416264.39;0.00;3099507.39;0.00;0.00;80673.40;0.00;1054015.16;0.00;262166.28;67810.00;0.00;0.00;3654155.60;436666.73;1584958.41;0.00;0.00;-11765.06;0.43;1.36;1.36;0.00;-7373.59;0.00;1.04;1.04
412680;Tapejara - PR;15572.0;32719746.76;0.00;0.00;0.00;4036356.20;16479.18;0.00;0.00;1703212.31;0.00;8573109.21;66092.69;8442923.81;689204.97;0.00;4857642.32;0.00;0.00;111566.57;0.00;661540.31;0.00;60023.65;0.00;0.00;0.00;762363.21;211310.12;2527922.21;1334899.11;0.00;-9411.96;0.21;1.30;1.30;0.00;-3831.10;0.19;1.20;1.20
430515;Cerro Grande - RS;2457.0;15272476.28;468064.02;0.00;0.00;2050198.95;0.00;0.00;0.00;504229.75;365590.26;2574756.31;0.00;3635710.29;193000.00;0.00;0.00;71046.72;267170.51;0.00;0.00;908262.46;0.00;45610.15;0.00;0.00;0.00;3132062.82;466443.42;590330.62;0.00;0.00;-4386.71;0.14;1.37;1.39;0.00;-409.14;0.90;1.28;1.29
354730;Santana de Parnaíba - SP;123825.0;568930454.00;15359210.71;0.00;0.00;108006827.49;0.00;0.00;0.00;21266327.61;5039774.04;131648570.06;2660846.58;200274756.37;11735960.68;0.00;59256999.83;1271530.44;0.00;0.00;0.00;0.00;0.00;0.00;1615.50;0.00;0.00;2902750.43;9505284.26;0.00;24550283.07;0.00;-13275.77;0.75;1.49;1.50;0.00;-988.66;0.99;1.28;1.29
412050;Primeiro de Maio - PR;11222.0;25399078.00;0.00;215685.35;0.00;2341175.86;229204.30;724.39;0.00;549249.48;2151806.88;6752223.29;1008236.80;5719179.96;232027.07;0.00;2873797.32;712458.85;157043.95;101536.34;0.00;114806.19;0.00;102856.84;240363.23;0.00;453775.02;1183162.35;259764.53;0.00;0.00;0.00;7953.22;1.00;2.41;2.44;0.00;-9.65;1.00;1.22;1.21
261150;Quipapá - PE;25381.0;50569632.31;1417999.65;0.00;0.00;10328964.00;0.00;0.00;0.00;1504616.55;3704537.93;11091225.98;0.00;17377316.34;1482761.36;0.00;435404.62;0.00;0.00;77924.33;0.00;757215.85;0.00;0.00;0.00;0.00;0.00;0.00;183161.16;2208504.54;0.00;0.00;-9015.62;0.01;1.15;1.16;0.00;-9397.32;0.06;1.06;1.06
351290;Cosmorama - SP;7396.0;25324774.44;930734.42;217353.73;0.00;2428829.85;0.00;0.00;0.00;1396204.69;0.00;5355087.95;0.00;7556207.89;746823.16;0.00;1945948.17;300000.00;745923.33;595624.02;0.00;860742.21;0.00;0.00;0.00;0.00;0.00;1443691.19;236082.72;565521.11;0.00;0.00;-14583.59;0.34;1.39;1.41;0.00;-8016.65;0.01;1.07;1.08
351800;Guarani d'Oeste - SP;2021.0;10985734.94;527590.82;0.00;0.00;1418343.26;0.00;0.00;0.00;851656.48;322899.64;2670729.60;0.00;3010044.99;87057.08;0.00;1267953.45;0.00;0.00;0.00;0.00;377204.46;0.00;0.00;0.00;0.00;0.00;291701.14;0.00;160554.02;0.00;0.00;-11802.30;0.02;1.26;1.27;0.00;-2677.84;0.37;1.16;1.16
354290;Ribeirão Bonito - SP;12831.0;33552388.30;629692.72;0.00;0.00;4722635.38;0.00;44750.00;0.00;1153349.62;0.00;9596673.29;0.00;11624105.56;177430.03;0.00;2870886.87;0.00;1022514.10;0.00;0.00;138.95;0.00;0.00;0.00;17021.48;0.00;1307677.77;385512.53;0.00;0.00;0.00;-10926.33;0.02;1.22;1.22;0.00;-7531.49;0.64;1.18;1.19
431242;Mormaço - RS;2928.0;12941532.01;426038.28;0.00;0.00;2485912.89;0.00;0.00;0.00;777446.96;386848.90;2397169.67;0.00;3848109.81;135754.19;0.00;0.00;39349.14;10869.22;0.00;0.00;1294720.90;0.00;0.00;0.00;0.00;0.00;0.00;205861.89;933450.16;0.00;0.00;-8549.40;0.47;1.44;1.46;0.00;-984.47;0.64;1.26;1.27
