#Codigo;Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias)
351907;0.00;-0.28;-0.15;-0.69;-0.08;2.83;-0.01;-0.39;0.18;0.28;-0.14;-0.17;0.00;0.02;2.06;0.97;-0.41;0.25;-0.10;-0.57;-0.04;1.08;-0.26;-0.21;-0.44;-0.53;0.23;1.01;0.85
411420;-0.51;-0.28;-0.15;-0.36;-0.08;0.09;-0.01;-0.31;-0.64;-0.32;-0.22;-0.49;-0.26;-0.10;0.55;-0.14;-0.41;-0.01;0.75;-0.19;-0.04;-0.17;-0.24;-0.21;3.66;-0.51;-0.33;0.06;-0.31
320515;0.36;-0.28;1.50;0.14;-0.08;-0.32;-0.01;0.95;-0.64;-0.09;-0.22;1.24;-0.73;-0.10;0.05;-0.22;-0.41;-0.09;-0.10;0.75;-0.04;1.70;-0.26;-0.21;-0.44;-0.10;-0.23;-0.53;-0.31
421935;0.26;-0.28;-0.15;-0.36;-0.08;3.73;-0.01;0.42;-0.64;0.27;-0.22;0.37;0.54;-0.10;-0.64;-0.07;-0.40;-0.38;-0.10;0.45;-0.04;-0.17;-0.20;0.48;-0.44;1.54;1.58;0.70;-0.31
521839;1.17;-0.28;-0.15;0.47;-0.08;-0.17;-0.01;-0.28;-0.64;-0.06;0.02;-1.18;-0.73;-0.10;-0.34;1.20;2.55;0.16;-0.10;0.29;-0.04;0.30;-0.26;-0.21;-0.44;1.62;-0.56;3.76;-0.31
310100;-0.23;0.04;-0.15;-0.80;-0.08;-0.17;-0.01;-0.62;-0.16;-0.65;-0.22;-1.50;0.14;-0.10;0.46;-0.22;-0.39;-0.23;-0.10;-0.47;-0.04;-0.17;-0.26;1.73;0.75;-0.39;-0.54;0.80;-0.31
432080;-0.33;-0.28;-0.15;-0.12;-0.08;-0.32;-0.01;-0.46;1.49;-0.85;-0.22;-0.92;-0.40;-0.10;-0.70;-0.21;-0.41;-0.31;-0.10;0.19;-0.04;-0.16;0.09;-0.21;-0.44;-0.41;-0.25;-0.36;1.92
510779;-1.21;-0.28;-0.15;0.57;-0.08;-0.32;-0.01;1.22;-0.64;0.62;-0.22;1.03;-0.64;-0.10;1.23;-0.22;-0.12;-0.44;-0.10;-0.38;-0.04;-0.17;-0.26;-0.21;-0.44;-0.51;0.22;0.70;-0.31
314470;0.07;-0.28;-0.15;0.07;-0.08;-0.32;-0.01;0.14;-0.64;-0.09;-0.22;-0.86;1.23;-0.10;0.53;-0.22;1.69;0.36;-0.10;-0.46;-0.04;-0.17;-0.26;-0.21;-0.44;-0.35;-0.44;-0.01;-0.31
420285;0.95;-0.28;-0.15;0.54;-0.08;0.74;-0.01;-0.36;1.21;0.72;-0.22;1.26;2.28;-0.10;0.52;-0.22;0.49;-0.33;-0.10;0.82;-0.04;-0.17;-0.26;2.82;1.14;1.47;0.66;1.35;-0.31
