#Codigo;Cidade ;População 2013;Legislativa(2013);Judiciária(2013);Essencial à Justiça(2013);Administração(2013);Defesa Nacional(2013);Segurança Pública(2013);Relações Exteriores(2013);Assistência Social(2013);Previdência Social(2013);Saúde(2013);Trabalho(2013);Educação(2013);Cultura(2013);Direitos da Cidadania(2013);Urbanismo(2013);Habitação(2013);Saneamento(2013);Gestão Ambiental(2013);Ciência e Tecnologia(2013);Agricultura(2013);Organização Agrária(2013);Indústria(2013);Comércio e Serviços(2013);Comunicações(2013);Energia(2013);Transporte(2013);Desporto e Lazer(2013);Encargos Especiais(2013);Despesas (Intraorçamentárias)(2013);Legislativa(2014);Judiciária(2014);Essencial à Justiça(2014);Administração(2014);Defesa Nacional(2014);Segurança Pública(2014);Relações Exteriores(2014);Assistência Social(2014);Previdência Social(2014);Saúde(2014);Trabalho(2014);Educação(2014);Cultura(2014);Direitos da Cidadania(2014);Urbanismo(2014);Habitação(2014);Saneamento(2014);Gestão Ambiental(2014);Ciência e Tecnologia(2014);Agricultura(2014);Organização Agrária(2014);Indústria(2014);Comércio e Serviços(2014);Comunicações(2014);Energia(2014);Transporte(2014);Desporto e Lazer(2014);Encargos Especiais(2014);Despesas (Intraorçamentárias)(2014);LOF_REL_NOR;LOF_SUA_NOR
421795;Tigrinhos - SC;1746.0;479604.84;0.00;0.00;1674996.22;0.00;8697.65;0.00;411636.87;0.00;2244676.03;0.00;1916878.21;28000.00;0.00;136004.41;0.00;0.00;478200.00;0.00;888352.04;0.00;0.00;0.00;0.00;0.00;735247.66;233968.24;245631.86;0.00;513746.40;0.00;0.00;1741932.71;0.00;12304.34;0.00;571800.63;0.00;2521297.85;0.00;1663311.41;17533.87;0.00;387366.58;0.00;0.00;82644.48;0.00;1019381.48;0.00;0.00;0.00;0.00;0.00;1973126.19;715459.26;174065.86;0.00;1.71;1.01
313090;Inhapim - MG;24882.0;1397730.34;184849.65;0.00;5942818.39;0.00;39278.81;0.00;906622.67;0.00;8805701.86;0.00;7204240.63;99058.49;0.00;1442548.94;0.00;14570.00;0.00;0.00;444858.06;0.00;0.00;30491.72;1008.00;125368.39;1813473.37;264295.78;1300725.16;0.00;1468831.21;236441.29;0.00;6364232.19;0.00;39249.21;0.00;1324622.55;689138.81;13324876.30;394316.89;8282603.93;105597.10;43821.49;1639795.59;0.00;3213.14;0.00;0.00;1039208.70;0.00;0.00;0.00;7338.00;248283.50;1555250.20;379354.82;254351.66;0.00;1.16;1.15
221039;São Miguel do Fidalgo - PI;2995.0;356224.16;0.00;0.00;1571386.31;0.00;0.00;0.00;525166.41;0.00;1675590.75;0.00;2695944.11;49613.73;0.00;253277.70;249753.50;0.00;0.00;0.00;21748.99;0.00;0.00;0.00;0.00;21974.67;600.00;9266.85;41792.48;0.00;421891.35;0.00;0.00;2089218.75;0.00;0.00;0.00;700015.08;0.00;1904740.08;0.00;2746089.79;63692.56;0.00;389169.48;0.00;0.00;35915.66;0.00;32321.43;0.00;0.00;0.00;0.00;0.00;0.00;269826.02;35406.44;0.00;1.31;1.07
221070;Simões - PI;14372.0;689061.34;0.00;43166.66;2447863.55;0.00;0.00;0.00;995602.45;0.00;5986036.40;219034.13;11276644.13;81131.00;0.00;1106287.72;0.00;644163.99;191561.76;0.00;144883.93;0.00;0.00;0.00;127216.15;0.00;282157.59;120452.71;0.00;0.00;756174.04;0.00;0.00;3238727.25;0.00;0.00;0.00;1348582.81;0.00;6821597.67;171335.69;13139793.15;173561.00;0.00;1183482.16;0.00;1139113.52;292356.24;0.00;20300.38;0.00;0.00;0.00;11230.00;0.00;213165.98;554988.82;0.00;0.00;1.46;1.20
354560;Santa Adélia - SP;15017.0;692809.83;0.00;0.00;4274266.32;0.00;0.00;0.00;1539850.15;0.00;8821210.22;0.00;10161763.77;801855.01;0.00;4340205.26;112228.19;1658925.38;214200.00;0.00;263444.87;0.00;0.00;0.00;0.00;0.00;838740.71;530257.86;963518.35;0.00;825092.60;0.00;0.00;4718633.93;0.00;0.00;0.00;1834269.11;0.00;9619616.44;0.00;13622386.61;1336355.33;0.00;3339492.39;9663613.29;2087470.72;224000.00;0.00;266202.65;0.00;0.00;0.00;0.00;0.00;847613.83;329228.52;791709.31;0.00;2.41;1.04
260620;Goiana - PE;77945.0;4594287.62;0.00;0.00;16851243.12;0.00;0.00;0.00;2899646.50;14029720.43;30925103.56;0.00;47477598.01;1897469.46;0.00;16652764.78;0.00;145507.91;0.00;234406.31;350960.53;0.00;44064.09;46939.67;0.00;0.00;0.00;0.00;0.00;7435395.88;5954806.48;0.00;0.00;25645331.43;0.00;0.00;0.00;4388180.19;17577148.51;37304603.78;0.00;47861899.89;6235580.30;0.00;24374088.88;0.00;0.00;0.00;329643.45;0.00;0.00;0.00;511608.74;336980.53;0.00;0.00;0.00;1404.10;11890528.77;1.32;1.50
351385;Dirce Reis - SP;1760.0;508121.71;0.00;0.00;1460151.52;0.00;0.00;0.00;612626.90;474155.28;2220097.00;0.00;1702220.90;34802.28;0.00;896733.48;0.00;0.00;0.00;0.00;141228.20;0.00;0.00;0.00;0.00;0.00;903468.04;379626.88;312623.36;470764.53;549122.36;0.00;0.00;1496279.47;0.00;0.00;0.00;504666.23;527533.85;2708521.09;0.00;1626887.74;322803.39;0.00;813008.93;0.00;0.00;648.00;0.00;200251.62;0.00;0.00;0.00;0.00;0.00;575497.88;242980.19;192534.82;518115.09;1.44;1.03
150215;Canaã dos Carajás - PA;31062.0;5750156.75;13548.55;0.00;20321045.11;0.00;0.00;0.00;8809085.50;0.00;38643473.65;0.00;45144753.42;1255133.04;0.00;39476162.73;125000.00;9270330.94;1588549.80;0.00;2548780.57;0.00;0.00;454041.35;0.00;0.00;1791453.71;218824.25;0.00;0.00;9413492.33;0.00;0.00;49955716.78;0.00;0.00;0.00;12099247.06;0.00;56256723.64;0.00;75609427.17;1804921.54;360.00;39728471.83;4091625.07;7779673.65;94355.00;0.00;394172.61;0.00;0.00;280000.00;0.00;1419270.50;0.00;1000148.14;0.00;0.00;1.91;1.34
351270;Corumbataí - SP;4018.0;592318.71;0.00;0.00;1461887.33;0.00;0.00;0.00;689102.91;0.00;4101185.38;0.00;6413789.21;9125.78;0.00;2968503.12;0.00;709158.31;0.00;0.00;127581.43;0.00;0.00;0.00;0.00;0.00;0.00;526703.57;523637.77;0.00;585283.21;0.00;0.00;1781431.82;0.00;0.00;0.00;782959.04;0.00;5233344.91;0.00;6459274.99;10115.48;0.00;4455724.20;0.00;835341.59;15886.78;0.00;165446.98;0.00;0.00;3995.50;0.00;0.00;0.00;699643.25;541803.70;0.00;1.56;1.02
220700;Oeiras - PI;36195.0;1362951.88;0.00;0.00;6638062.76;0.00;1600.00;0.00;1624258.47;0.00;11715832.68;0.00;21568126.14;1588507.96;0.00;2873588.28;16049.92;784401.55;146255.78;0.00;217287.09;0.00;0.00;144154.60;0.00;0.00;2264924.39;762797.37;0.00;0.00;1472690.36;0.00;0.00;7475659.07;0.00;20700.00;0.00;1979445.00;0.00;12115795.67;0.00;23013452.31;1154466.76;0.00;3379815.55;327773.44;165815.16;93240.00;0.00;193282.25;0.00;0.00;159469.47;0.00;0.00;564582.12;1190851.60;150809.98;0.00;1.01;1.06
