#"CodIBGE";"uf";"nome caixa";"populacao";"legislativa";"judiciária";"essencial à justiça";"administração";"defesa nacional";"segurança pública";"relações exteriores";"assistência social";"previdência social";"saúde";"trabalho";"educação";"cultura";"direitos da cidadania";"urbanismo";"habitação";"saneamento";"gestão ambiental";"ciência e tecnologia";"agricultura";"organização agrária";"indústria";"comércio e serviços";"comunicações";"energia";"transporte";"desporto e lazer";"encargos especiais"
420325;"SC";"CAPAO ALTO";3130,00;R$ 219710,51;R$ 55823,23;R$ 0,00;R$ 762116,76;R$ 0,00;R$ 0,00;R$ 0,00;R$ 183774,75;R$ 0,00;R$ 830333,99;R$ 0,00;R$ 1409069,50;R$ 0,00;R$ 0,00;R$ 46353,33;R$ 0,00;R$ 631,40;R$ 0,00;R$ 0,00;R$ 317327,93;R$ 0,00;R$ 0,00;R$ 30814,95;R$ 0,00;R$ 0,00;R$ 773837,53;R$ 657,59;R$ 0,00
420330;"SC";"CAMPO ALEGRE";12611,00;R$ 249614,11;R$ 0,00;R$ 0,00;R$ 1284684,66;R$ 0,00;R$ 51595,12;R$ 0,00;R$ 209646,57;R$ 336673,00;R$ 1818469,89;R$ 0,00;R$ 2496004,20;R$ 106019,50;R$ 0,00;R$ 1065091,55;R$ 25450,00;R$ 244863,28;R$ 0,00;R$ 0,00;R$ 228665,69;R$ 0,00;R$ 6050,00;R$ 22543,22;R$ 0,00;R$ 0,00;R$ 1017706,85;R$ 44280,67;R$ 42776,53
420340;"SC";"CAMPO BELO DO SUL";8072,00;R$ 381719,47;R$ 0,00;R$ 0,00;R$ 1221485,99;R$ 0,00;R$ 0,00;R$ 0,00;R$ 155986,72;R$ 0,00;R$ 1435099,36;R$ 0,00;R$ 2088210,56;R$ 11523,20;R$ 0,00;R$ 384613,15;R$ 0,00;R$ 5218,00;R$ 98812,86;R$ 0,00;R$ 529155,83;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1011314,75;R$ 115719,41;R$ 0,00
420350;"SC";"CAMPO ERE";8655,00;R$ 301896,62;R$ 0,00;R$ 0,00;R$ 1387003,53;R$ 0,00;R$ 0,00;R$ 0,00;R$ 688166,01;R$ 0,00;R$ 1543906,09;R$ 0,00;R$ 2576068,84;R$ 17281,44;R$ 0,00;R$ 274942,25;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 415642,93;R$ 0,00;R$ 40445,32;R$ 14551,97;R$ 0,00;R$ 0,00;R$ 839466,61;R$ 16333,55;R$ 326951,76
420360;"SC";"CAMPOS NOVOS";30291,00;R$ 967074,66;R$ 0,00;R$ 0,00;R$ 4450426,06;R$ 0,00;R$ 105260,03;R$ 0,00;R$ 961145,45;R$ 0,00;R$ 5806917,97;R$ 0,00;R$ 7547647,30;R$ 272498,96;R$ 0,00;R$ 0,00;R$ 155883,11;R$ 1476788,91;R$ 31799,10;R$ 0,00;R$ 347964,81;R$ 0,00;R$ 249572,79;R$ 0,00;R$ 0,00;R$ 0,00;R$ 9772316,20;R$ 287778,22;R$ 24946,71
420370;"SC";"CANELINHA";9530,00;R$ 281074,91;R$ 0,00;R$ 0,00;R$ 697232,33;R$ 0,00;R$ 0,00;R$ 0,00;R$ 427172,42;R$ 0,00;R$ 2015426,35;R$ 0,00;R$ 1326190,22;R$ 0,00;R$ 0,00;R$ 438135,29;R$ 40600,00;R$ 6704,00;R$ 0,00;R$ 0,00;R$ 150909,58;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 418389,10;R$ 67759,84;R$ 470651,90
420380;"SC";"CANOINHAS";52871,00;R$ 1693344,11;R$ 0,00;R$ 0,00;R$ 3983206,44;R$ 0,00;R$ 253446,27;R$ 0,00;R$ 1526240,07;R$ 0,00;R$ 6350640,34;R$ 0,00;R$ 11359323,29;R$ 305863,28;R$ 0,00;R$ 1047649,59;R$ 0,00;R$ 0,00;R$ 61707,73;R$ 0,00;R$ 525942,48;R$ 0,00;R$ 0,00;R$ 983813,37;R$ 0,00;R$ 0,00;R$ 8246360,99;R$ 177478,15;R$ 1016244,51
420390;"SC";"CAPINZAL";22515,00;R$ 560072,56;R$ 0,00;R$ 39619,66;R$ 4082454,85;R$ 0,00;R$ 364047,59;R$ 0,00;R$ 310892,82;R$ 0,00;R$ 4296680,92;R$ 0,00;R$ 5210418,40;R$ 242455,17;R$ 0,00;R$ 4179929,77;R$ 382364,65;R$ 1578323,55;R$ 0,00;R$ 0,00;R$ 672725,13;R$ 0,00;R$ 314233,90;R$ 123125,35;R$ 12960,00;R$ 0,00;R$ 1354193,36;R$ 350813,84;R$ 774948,62
420395;"SC";"CAPIVARI DE BAIXO";20238,00;R$ 1188100,09;R$ 0,00;R$ 0,00;R$ 2604381,61;R$ 0,00;R$ 389291,11;R$ 0,00;R$ 1159367,35;R$ 0,00;R$ 4662050,88;R$ 0,00;R$ 5807679,33;R$ 163519,07;R$ 0,00;R$ 3670419,86;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 648776,94;R$ 0,00;R$ 0,00;R$ 336426,80;R$ 0,00;R$ 0,00;R$ 138660,04;R$ 59994,26;R$ 244925,33
420400;"SC";"CATANDUVAS";9391,00;R$ 359311,13;R$ 0,00;R$ 0,00;R$ 1593368,16;R$ 0,00;R$ 104811,07;R$ 0,00;R$ 178968,71;R$ 0,00;R$ 2441959,71;R$ 0,00;R$ 2166966,73;R$ 79908,76;R$ 0,00;R$ 298625,34;R$ 5652,29;R$ 0,00;R$ 0,00;R$ 0,00;R$ 131803,78;R$ 0,00;R$ 0,00;R$ 0,00;R$ 16889,24;R$ 0,00;R$ 1631655,46;R$ 289342,36;R$ 496039,17
420410;"SC";"CAXAMBU DO SUL";4822,00;R$ 224015,51;R$ 0,00;R$ 0,00;R$ 745605,16;R$ 0,00;R$ 0,00;R$ 0,00;R$ 183075,45;R$ 0,00;R$ 1077641,47;R$ 0,00;R$ 1388694,71;R$ 0,00;R$ 0,00;R$ 164199,86;R$ 25116,46;R$ 475957,10;R$ 0,00;R$ 0,00;R$ 585809,80;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 823564,48;R$ 69142,88;R$ 393186,26
420415;"SC";"CELSO RAMOS";2460,00;R$ 214533,08;R$ 0,00;R$ 0,00;R$ 884799,59;R$ 0,00;R$ 0,00;R$ 0,00;R$ 278080,43;R$ 0,00;R$ 1003430,50;R$ 0,00;R$ 1410647,69;R$ 55004,25;R$ 0,00;R$ 12272,56;R$ 10800,00;R$ 90763,00;R$ 0,00;R$ 0,00;R$ 559636,52;R$ 0,00;R$ 0,00;R$ 21373,78;R$ 877,61;R$ 0,00;R$ 966698,08;R$ 5691,98;R$ 0,00
420417;"SC";"CERRO NEGRO";3433,00;R$ 243311,88;R$ 0,00;R$ 0,00;R$ 673571,54;R$ 0,00;R$ 0,00;R$ 0,00;R$ 52577,05;R$ 0,00;R$ 845180,37;R$ 0,00;R$ 1340527,57;R$ 0,00;R$ 0,00;R$ 61355,50;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 273748,57;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 7564,88;R$ 536194,06;R$ 0,00;R$ 256629,64
420419;"SC";"CHAPADAO DO LAGEADO";2543,00;R$ 232051,83;R$ 0,00;R$ 0,00;R$ 961621,11;R$ 0,00;R$ 0,00;R$ 0,00;R$ 194224,77;R$ 0,00;R$ 814963,89;R$ 0,00;R$ 1049617,57;R$ 1972,00;R$ 0,00;R$ 176691,73;R$ 0,00;R$ 0,00;R$ 2841,10;R$ 0,00;R$ 128985,95;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 477057,30;R$ 27546,59;R$ 120257,40
420420;"SC";"CHAPECO";169256,0;R$ 3717102,50;R$ 0,00;R$ 0,00;R$ 22353628,58;R$ 0,00;R$ 836264,07;R$ 0,00;R$ 5508974,49;R$ 5991064,35;R$ 48446142,56;R$ 0,00;R$ 35405090,23;R$ 1362210,62;R$ 214748,96;R$ 11793626,61;R$ 1220262,16;R$ 2381369,40;R$ 1254377,77;R$ 0,00;R$ 2801062,61;R$ 0,00;R$ 64017,34;R$ 2691805,02;R$ 0,00;R$ 0,00;R$ 13123274,03;R$ 4215541,99;R$ 1255231,86
420425;"SC";"COCAL DO SUL";14869,00;R$ 530851,00;R$ 0,00;R$ 0,00;R$ 4960867,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 375504,00;R$ 0,00;R$ 3085443,00;R$ 0,00;R$ 3558742,00;R$ 32910,00;R$ 0,00;R$ 151490,00;R$ 0,00;R$ 1011380,00;R$ 54995,00;R$ 0,00;R$ 246594,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 180472,00;R$ 639752,00;R$ 111486,00;R$ 0,00
420430;"SC";"CONCORDIA";66350,00;R$ 1212823,35;R$ 43900,11;R$ 0,00;R$ 17606011,05;R$ 0,00;R$ 204222,65;R$ 0,00;R$ 1378350,01;R$ 1501682,98;R$ 12160326,29;R$ 0,00;R$ 15854786,65;R$ 101365,65;R$ 0,00;R$ 7601090,30;R$ 192527,25;R$ 1610253,48;R$ 53157,36;R$ 0,00;R$ 1493472,05;R$ 0,00;R$ 97768,51;R$ 259832,22;R$ 0,00;R$ 0,00;R$ 3118814,63;R$ 1388012,38;R$ 3323954,27
420435;"SC";"CORDILHEIRA ALTA";3218,00;R$ 201141,86;R$ 0,00;R$ 0,00;R$ 826080,46;R$ 0,00;R$ 82370,87;R$ 0,00;R$ 44346,18;R$ 0,00;R$ 1250954,54;R$ 0,00;R$ 1511644,14;R$ 18581,33;R$ 19024,85;R$ 116000,22;R$ 49950,30;R$ 202066,44;R$ 0,00;R$ 0,00;R$ 510030,87;R$ 0,00;R$ 12425,60;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1069720,61;R$ 17230,72;R$ 73350,91
420440;"SC";"CORONEL FREITAS";10611,00;R$ 301192,55;R$ 0,00;R$ 0,00;R$ 1310579,04;R$ 0,00;R$ 31223,91;R$ 0,00;R$ 459048,67;R$ 0,00;R$ 2229858,87;R$ 0,00;R$ 2166770,34;R$ 28404,92;R$ 0,00;R$ 736942,49;R$ 5607,82;R$ 0,00;R$ 0,00;R$ 0,00;R$ 709512,18;R$ 0,00;R$ 17459,04;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1042873,43;R$ 317790,19;R$ 386905,85
