#CodIBGE;uf;nome caixa;populacao;legislativa;judiciária;essencial à justiça;administração;defesa nacional;segurança pública;relações exteriores;assistência social;previdência social;saúde;trabalho;educação;cultura;direitos da cidadania;urbanismo;habitação;saneamento;gestão ambiental;ciência e tecnologia;agricultura;organização agrária;indústria;comércio e serviços;comunicações;energia;transporte;desporto e lazer;encargos especiais
412410;PR;SANTO ANTONIO DA PLATINA;40574;R$ 464112,65;R$ 0,00;R$ 0,00;R$ 4101205,11;R$ 41057,21;R$ 107915,63;R$ 0,00;R$ 1048374,32;R$ 0,00;R$ 3180586,81;R$ 0,00;R$ 6613845,88;R$ 5624,22;R$ 0,00;R$ 4367835,83;R$ 0,00;R$ 145004,75;R$ 32356,04;R$ 0,00;R$ 161632,80;R$ 0,00;R$ 106314,09;R$ 185247,29;R$ 0,00;R$ 38469,34;R$ 466237,93;R$ 287694,39;R$ 957500,23
412420;PR;SANTO ANTONIO DO CAIUA;2758;R$ 158532,61;R$ 0,00;R$ 0,00;R$ 589802,85;R$ 0,00;R$ 0,00;R$ 0,00;R$ 194511,44;R$ 55226,43;R$ 982078,82;R$ 0,00;R$ 779719,88;R$ 23514,58;R$ 0,00;R$ 190249,32;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 179763,36;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 310217,04;R$ 21870,14;R$ 225415,37
412430;PR;SANTO ANTONIO DO PARAISO;2945;R$ 243329,90;R$ 0,00;R$ 0,00;R$ 624264,03;R$ 0,00;R$ 0,00;R$ 0,00;R$ 182252,92;R$ 0,00;R$ 1014629,91;R$ 27713,63;R$ 861095,82;R$ 33915,96;R$ 0,00;R$ 208023,80;R$ 79594,30;R$ 127433,84;R$ 0,00;R$ 0,00;R$ 46302,06;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 386038,23;R$ 45782,51;R$ 239923,21
412440;PR;SANTO ANTONIO DO SUDOESTE;18089;R$ 425010,75;R$ 0,00;R$ 0,00;R$ 1557574,93;R$ 0,00;R$ 0,00;R$ 0,00;R$ 522279,64;R$ 488500,87;R$ 1960155,81;R$ 0,00;R$ 3774895,66;R$ 88536,45;R$ 0,00;R$ 795640,22;R$ 0,00;R$ 0,00;R$ 14830,76;R$ 0,00;R$ 480086,60;R$ 0,00;R$ 47439,84;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1163550,72;R$ 158660,91;R$ 325699,97
412450;PR;SANTO INACIO;5021;R$ 183142,25;R$ 0,00;R$ 0,00;R$ 944515,55;R$ 0,00;R$ 0,00;R$ 0,00;R$ 204330,26;R$ 0,00;R$ 966839,88;R$ 0,00;R$ 1172116,48;R$ 44490,31;R$ 0,00;R$ 485019,46;R$ 0,00;R$ 0,00;R$ 12962,50;R$ 0,00;R$ 83530,00;R$ 0,00;R$ 22835,64;R$ 0,00;R$ 0,00;R$ 0,00;R$ 365306,19;R$ 64224,86;R$ 140463,04
412460;PR;SAO CARLOS DO IVAI;6382;R$ 267120,02;R$ 0,00;R$ 0,00;R$ 760385,72;R$ 0,00;R$ 0,00;R$ 0,00;R$ 301128,44;R$ 0,00;R$ 1339930,48;R$ 32376,45;R$ 1351938,84;R$ 0,00;R$ 0,00;R$ 704647,92;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 141890,30;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 136297,04;R$ 55628,39;R$ 256683,53
412470;PR;SAO JERONIMO DA SERRA;10968;R$ 204833,00;R$ 0,00;R$ 0,00;R$ 1058593,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 260473,00;R$ 0,00;R$ 2114500,00;R$ 0,00;R$ 2465034,00;R$ 19718,00;R$ 11286,00;R$ 419480,00;R$ 0,00;R$ 160504,00;R$ 0,00;R$ 0,00;R$ 130258,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1006276,00;R$ 57784,00;R$ 241343,00
412480;PR;SAO JOAO;9948;R$ 254730,61;R$ 0,00;R$ 0,00;R$ 797203,72;R$ 0,00;R$ 3630,00;R$ 0,00;R$ 479620,49;R$ 0,00;R$ 1697148,92;R$ 0,00;R$ 2072745,96;R$ 95539,74;R$ 0,00;R$ 640014,52;R$ 52216,42;R$ 107275,12;R$ 0,00;R$ 0,00;R$ 339693,99;R$ 0,00;R$ 49860,94;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1655722,47;R$ 290208,43;R$ 449608,90
412490;PR;SAO JOAO DO CAIUA;6134;R$ 202996,52;R$ 0,00;R$ 0,00;R$ 961615,51;R$ 0,00;R$ 0,00;R$ 0,00;R$ 217855,16;R$ 29538,71;R$ 1245741,28;R$ 0,00;R$ 1225017,30;R$ 21922,81;R$ 0,00;R$ 118129,30;R$ 83389,50;R$ 185749,93;R$ 515,82;R$ 0,00;R$ 38905,71;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 84492,45;R$ 120328,61;R$ 242906,81
412500;PR;SAO JOAO DO IVAI;11417;R$ 341517,00;R$ 86610,00;R$ 0,00;R$ 1036161,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 100848,00;R$ 230054,00;R$ 1869967,00;R$ 72525,00;R$ 2376765,00;R$ 14508,00;R$ 0,00;R$ 638816,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 257557,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 804348,00;R$ 87691,00;R$ 272103,00
