##Cod.IBGE;UF;Instituição;População;01 - Legislativa;02 - Judiciária;03 - Essencial à Justiça;04 - Administração;05 - Defesa Nacional;06 - Segurança Pública;07 - Relações Exteriores;08 - Assistência Social;09 - Previdência Social;10 - Saúde;11 - Trabalho;12 - Educação;13 - Cultura;14 - Direitos da Cidadania;15 - Urbanismo;16 - Habitação;17 - Saneamento;18 - Gestão Ambiental;19 - Ciência e Tecnologia;20 - Agricultura;21 - Organização Agrária;22 - Indústria;23 - Comércio e Serviços;24 - Comunicações;25 - Energia;26 - Transporte;27 - Desporto e Lazer;28 - Encargos Especiais;Despesas (Intraorçamentárias)
430676;RS;Eldorado do Sul;37366;4126605.48;0;0;21678025.67;0;0;0;1130166.30;0;17656424.11;0;31369906.23;265440.44;0;11146041.98;0;287436.70;112844.30;0;261597.14;0;338280.00;0;0;0;206538.92;79111.00;2041473.52;0
211100;MA;São João Batista;20195;0;110184.18;0;5111369.80;0;0;0;1544605.50;0;8779434.12;0;18796489.68;37300.00;0;3028973.95;0;81551.25;0;0;135686.35;0;0;0;0;0;0;58131.83;137673.94;0
520552;GO;Colinas do Sul;3563;641324.96;9000.00;0;3441221.59;1893.69;53470.00;0;777909.45;0;4535890.13;0;3766059.14;1795.51;0;1301797.09;0;0;88539.32;0;654060.81;0;30139.00;153749.95;11764.42;177395.21;471936.79;29523.29;0;0
432183;RS;Três Forquilhas;2938;463045.65;0;0;2469403.20;0;0;0;288991.63;475167.53;2408419.32;0;2933681.91;0;0;10998.60;0;113913.59;110578.00;0;496443.22;0;0;0;0;26770.85;75125.62;0;52301.30;1122788.32
316630;MG;Sericita;7391;638189.33;0;0;1853112.07;0;25774.49;0;363296.84;73515.00;4940474.43;0;4005137.94;536036.21;61096.84;732178.23;36802.20;0;700606.77;0;38445.12;0;0;0;3142.88;100630.77;1263670.13;93691.29;519566.37;0
313290;MG;Itamogi;10553;683134.92;0;0;3353339.84;0;32076.44;0;599700.97;0;7292565.72;0;5363302.44;788817.14;0;1592417.96;0;0;363697.40;0;164748.12;0;28672.34;0;0;150101.20;8549.62;216581.93;483905.00;0
320100;ES;Boa Esperança;15244;1007058.50;530194.46;0;6268426.80;0;0;0;1306762.23;2145525.13;8467272.65;0;10353399.13;1452178.47;0;5949599.63;0;0;0;0;3450793.36;0;0;0;0;0;0;385434.20;0;2158171.40
431570;RS;Rio Pardo;38899;2590402.66;0;0;6236787.33;0;1285616.66;0;1774828.27;0;33351585.72;0;17587149.35;0;0;3833567.46;0;2857412.61;527753.33;0;1428215.67;0;174166.20;658978.27;0;0;1879507.48;455512.98;7794436.39;0
521308;GO;Minaçu;31206;3901188.29;228.25;0;13415716.74;0;1099150.79;0;4944235.81;9405017.39;18100085.19;66351.37;28924734.55;650823.00;0;9890946.40;0;0;1577313.43;0;510174.25;0;0;48475.76;0;0;4609138.73;318571.32;2979807.34;0
290310;BA;Barra do Rocha;6518;603387.16;39586.64;0;4046975.11;0;0;0;794296.89;0;2815813.81;0;6689612.89;23300.00;0;0;0;0;0;0;92551.73;0;0;0;0;0;0;0;0;0
292930;BA;São Gonçalo dos Campos;37111;1933966.71;0;0;6718469.97;0;0;0;819115.41;0;14776658.11;19468.84;22017868.14;49801.16;0;1716657.07;43439.26;0;0;0;173621.25;0;0;96577.76;0;22478.04;6281.00;19873.21;878515.68;0
270170;AL;Capela;17591;1071883.53;0;0;4077221.36;0;174651.70;0;1814073.87;0;8953088.89;0;16881306.98;585888.19;0;4062507.95;14565.00;0;0;0;172628.65;0;0;0;0;0;0;133282.43;276588.71;0
351940;SP;Ibirá;11740;604835.94;0;0;4388828.45;0;57860.00;0;1313190.81;452573.62;8560433.95;0;10531825.81;788170.25;0;5254644.74;58500.00;531665.37;85.00;0;295551.14;0;0;876779.26;0;0;276939.36;285142.75;565182.38;0
430770;RS;Esteio;83846;5524484.27;3583480.76;0;19757090.41;0;6002693.68;0;5850145.64;6040339.15;34377014.42;219360.19;58307255.58;1213568.24;94786.28;21033249.21;510452.14;1533102.58;1430139.59;0;0;0;0;30996.78;236664.22;2619422.11;3268367.97;801468.62;1327348.81;0
110014;RO;Nova Brasilândia D'Oeste;21511;1235434.77;0;0;5808115.97;0;0;0;1427796.10;1262674.13;9003023.53;0;10853019.27;57273.52;0;75836.05;0;0;180875.98;0;763470.26;0;0;5774.80;0;0;1853015.53;540796.17;526090.85;0
260190;PE;Bezerros;60301;2668095.09;1000.00;0;9511623.52;0;0;0;3077013.18;5819273.25;25165049.07;0;33540489.35;2403494.71;11688.80;7657533.50;0;0;0;0;5623442.91;0;724.00;0;0;0;134480.16;131098.39;1172659.36;0
