#"CodIBGE";"uf";"municipio";"populacao";"legislativa";"judiciária";"essencial à justiça";"administração";"defesa nacional";"segurança pública";"relações exteriores";"assistência social";"previdência social";"saúde";"trabalho";"educação";"cultura";"direitos da cidadania";"urbanismo";"habitação";"saneamento";"gestão ambiental";"ciência e tecnologia";"agricultura";"organização agrária";"indústria";"comércio e serviços";"comunicações";"energia";"transporte";"desporto e lazer";"encargos especiais";"desp por função intra-orçamentária"
431173;"RS";"Mampituba";2988;R$ 358981,43;R$ 0,00;R$ 0,00;R$ 1374159,69;R$ 0,00;R$ 0,00;R$ 0,00;R$ 321175,79;R$ 183169,26;R$ 2031196,38;R$ 0,00;R$ 2724931,83;R$ 27697,21;R$ 0,00;R$ 176950,25;R$ 96904,96;R$ 243531,10;R$ 184101,28;R$ 0,00;R$ 443988,84;R$ 0,00;R$ 0,00;R$ 68612,82;R$ 0,00;R$ 0,00;R$ 1234838,61;R$ 76658,40;R$ 0,00;R$ 0,00
431175;"RS";"Manoel Viana";7084;R$ 610984,72;R$ 0,00;R$ 0,00;R$ 5148382,71;R$ 0,00;R$ 77936,66;R$ 0,00;R$ 435684,58;R$ 0,00;R$ 4146034,37;R$ 0,00;R$ 3759249,79;R$ 55685,89;R$ 0,00;R$ 448347,54;R$ 13721,69;R$ 15349,26;R$ 280083,72;R$ 0,00;R$ 346447,44;R$ 0,00;R$ 0,00;R$ 269106,04;R$ 0,00;R$ 0,00;R$ 14413,68;R$ 170,00;R$ 553597,29;R$ 0,00
431177;"RS";"Maquiné";6845;R$ 700358,13;R$ 0,00;R$ 0,00;R$ 3991030,92;R$ 0,00;R$ 0,00;R$ 0,00;R$ 398849,27;R$ 711369,98;R$ 2470920,71;R$ 0,00;R$ 4117461,07;R$ 9925,00;R$ 0,00;R$ 1897558,10;R$ 0,00;R$ 0,00;R$ 3538,40;R$ 0,00;R$ 748715,43;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 35657,27;R$ 16669,80;R$ 620604,61;R$ 0,00
431179;"RS";"Maratá";2546;R$ 392951,79;R$ 0,00;R$ 0,00;R$ 3528519,47;R$ 0,00;R$ 7988,00;R$ 0,00;R$ 247912,59;R$ 153065,70;R$ 2017890,09;R$ 0,00;R$ 1892542,31;R$ 263286,01;R$ 0,00;R$ 121680,59;R$ 0,00;R$ 37686,56;R$ 132610,46;R$ 0,00;R$ 748029,98;R$ 0,00;R$ 36345,00;R$ 14010,00;R$ 0,00;R$ 2340,74;R$ 370367,22;R$ 101807,75;R$ 236778,69;R$ 0,00
431180;"RS";"Marau";37573;R$ 1197786,13;R$ 98077,71;R$ 0,00;R$ 16182530,66;R$ 0,00;R$ 872383,20;R$ 0,00;R$ 781462,18;R$ 0,00;R$ 15730923,08;R$ 2529834,08;R$ 26778445,37;R$ 3314941,91;R$ 0,00;R$ 7729533,25;R$ 304422,99;R$ 138182,82;R$ 170750,85;R$ 0,00;R$ 840416,20;R$ 0,00;R$ 601083,82;R$ 469243,06;R$ 0,00;R$ 2170,75;R$ 0,00;R$ 558150,07;R$ 630983,29;R$ 0,00
431190;"RS";"Marcelino Ramos";4987;R$ 366602,78;R$ 0,00;R$ 0,00;R$ 2684060,14;R$ 0,00;R$ 8000,00;R$ 0,00;R$ 391272,56;R$ 0,00;R$ 3067385,44;R$ 0,00;R$ 2198416,52;R$ 60915,10;R$ 0,00;R$ 423396,96;R$ 0,00;R$ 96523,34;R$ 275,00;R$ 0,00;R$ 1070390,48;R$ 0,00;R$ 0,00;R$ 20182,60;R$ 10861,52;R$ 43842,64;R$ 747427,31;R$ 48407,70;R$ 710335,02;R$ 0,00
431198;"RS";"Mariana Pimentel";3774;R$ 207328,67;R$ 0,00;R$ 0,00;R$ 2693826,95;R$ 0,00;R$ 29477,40;R$ 0,00;R$ 30474,23;R$ 443715,24;R$ 2322902,23;R$ 0,00;R$ 2771107,51;R$ 0,00;R$ 0,00;R$ 291243,74;R$ 0,00;R$ 15063,96;R$ 0,00;R$ 0,00;R$ 911301,41;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 117889,41;R$ 880513,86;R$ 486115,91;R$ 694770,11;R$ 238917,35
431200;"RS";"Mariano Moro";2171;R$ 263825,13;R$ 0,00;R$ 0,00;R$ 2758811,97;R$ 0,00;R$ 2862,40;R$ 0,00;R$ 395728,64;R$ 0,00;R$ 2045233,62;R$ 0,00;R$ 1368336,07;R$ 73254,37;R$ 0,00;R$ 156557,21;R$ 7038,30;R$ 11000,00;R$ 308367,33;R$ 0,00;R$ 841106,06;R$ 0,00;R$ 13933,53;R$ 288177,87;R$ 1500,00;R$ 72287,76;R$ 410072,16;R$ 57085,07;R$ 158283,84;R$ 0,00
431205;"RS";"Marques de Souza";4042;R$ 382723,96;R$ 0,00;R$ 0,00;R$ 2017602,13;R$ 0,00;R$ 0,00;R$ 0,00;R$ 468487,93;R$ 0,00;R$ 2530371,79;R$ 0,00;R$ 3476770,75;R$ 119164,29;R$ 0,00;R$ 955413,94;R$ 0,00;R$ 0,00;R$ 326126,38;R$ 0,00;R$ 1346561,16;R$ 0,00;R$ 0,00;R$ 24682,00;R$ 0,00;R$ 179798,34;R$ 2339122,33;R$ 39924,36;R$ 0,00;R$ 0,00
431210;"RS";"Mata";5041;R$ 419430,84;R$ 0,00;R$ 0,00;R$ 3181532,03;R$ 0,00;R$ 0,00;R$ 0,00;R$ 544950,11;R$ 495924,07;R$ 3150544,14;R$ 0,00;R$ 3390167,63;R$ 394255,05;R$ 0,00;R$ 26811,62;R$ 0,00;R$ 189734,06;R$ 106864,55;R$ 0,00;R$ 341127,14;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 96967,76;R$ 12809,00;R$ 9150,00;R$ 79011,81;R$ 0,00
