##Cod.IBGE;UF;Instituição;População;01 - Legislativa;02 - Judiciária;03 - Essencial à Justiça;04 - Administração;05 - Defesa Nacional;06 - Segurança Pública;07 - Relações Exteriores;08 - Assistência Social;09 - Previdência Social;10 - Saúde;11 - Trabalho;12 - Educação;13 - Cultura;14 - Direitos da Cidadania;15 - Urbanismo;16 - Habitação;17 - Saneamento;18 - Gestão Ambiental;19 - Ciência e Tecnologia;20 - Agricultura;21 - Organização Agrária;22 - Indústria;23 - Comércio e Serviços;24 - Comunicações;25 - Energia;26 - Transporte;27 - Desporto e Lazer;28 - Encargos Especiais;Despesas (Intra-Orçamentárias)
352820;SP;Macedônia;3756;649891.45;0;0;1999517.71;0;0;0;679500.12;190131.00;2741525.92;2921.39;3026928.79;0;0;1235645.36;63910.27;0;0;0;98713.93;0;0;0;0;0;1127873.13;371475.64;264932.16;0
411370;PR;Londrina;537566;24617606.14;6564911.30;0;88662031.18;120442.48;12226775.86;0;31235633.43;140967276.76;410370946.18;1202445.74;214519172.93;11953416.79;7423825.77;65079223.27;415100.00;0;33490156.59;0;5799086.39;0;1761341.50;1587774.00;0;0;0;3286602.32;34607354.77;111405941.13
240650;RN;Lagoa Nova;14942;705152.33;0;0;4291504.83;0;0;0;719686.61;0;5290675.97;0;11600699.75;0;0;1585310.87;0;541408.43;0;0;2881.79;0;0;45030.00;0;0;625.00;19691.74;0;0
410190;PR;Assaí;16436;0;0;0;4960767.74;0;329353.02;0;1125030.17;1579493.99;7578737.84;207499.25;8018727.51;498273.61;0;718641.74;0;580212.02;1681754.82;0;920348.98;0;0;461618.34;0;0;401867.87;564442.10;1160690.22;0
510600;MT;Nortelândia;6209;530215.61;0;0;3095592.24;0;0;0;679711.17;536416.61;3519504.17;125625.75;3321691.01;78878.83;0;419138.89;0;55000.00;14298.40;0;271034.33;0;357270.70;30241.06;0;42587.22;994314.32;50890.70;224480.48;556647.04
241040;RN;Pureza;9081;555918.08;0;0;1878303.75;0;0;0;738285.62;0;3091040.00;0;6287982.04;84811.48;0;1808560.04;115325.61;0;4400.00;0;279037.45;0;0;117552.59;0;0;141440.24;5556.00;0;0
353250;SP;Neves Paulista;9017;474330.20;0;0;3253467.43;0;0;0;386635.03;1004655.35;5199109.52;0;4483433.75;0;0;1789300.28;0;757376.49;0;0;8907.32;0;0;0;0;0;619743.42;180824.19;275063.98;1009613.14
314710;MG;Pará de Minas;89418;6103918.82;0;0;20227207.81;0;180724.94;0;4662591.20;7931812.37;41061020.49;0;33298004.23;1120656.29;5814810.56;5421976.33;0;623634.62;17269.60;0;166261.24;0;0;0;121685.26;0;2478331.46;709665.36;4004970.30;5759325.85
500780;MS;Selvíria;6427;1614677.65;0;0;6255735.09;0;0;0;2061553.12;119419.43;5739683.39;0;7460691.87;168716.31;310155.23;820179.90;38400.00;0;96771.09;0;152597.67;0;187178.87;37039.42;0;0;192573.83;376092.34;447092.88;0
316280;MG;São João Evangelista;16028;1217360.17;57603.25;0;3390333.27;0;28039.10;0;760641.08;1128215.40;7648329.48;0;7435011.94;174208.22;0;1171613.68;0;222665.31;13543.17;0;159920.41;0;0;0;42727.50;349742.49;269761.45;66122.70;360312.33;0
